gene_id,gene_symbol,biotype,truth_log2FC_for_instructor
Gene0267,Gene0267,protein_coding,0.0
Gene0268,Gene0268,protein_coding,0.0
Gene0269,Gene0269,protein_coding,0.0
Gene0270,Gene0270,protein_coding,0.0
Gene0271,Gene0271,protein_coding,0.0
Gene0272,Gene0272,protein_coding,0.0
Gene0273,Gene0273,protein_coding,0.0
Gene0274,Gene0274,protein_coding,0.0
Gene0275,Gene0275,protein_coding,0.0
Gene0276,Gene0276,protein_coding,0.0
Gene0277,Gene0277,protein_coding,0.0
Gene0278,Gene0278,protein_coding,0.0
Gene0279,Gene0279,protein_coding,0.0
Gene0280,Gene0280,protein_coding,0.0
Gene0281,Gene0281,protein_coding,0.0
Gene0282,Gene0282,protein_coding,0.0
Gene0283,Gene0283,protein_coding,0.0
Gene0284,Gene0284,protein_coding,0.0
Gene0285,Gene0285,protein_coding,0.0
Gene0286,Gene0286,protein_coding,0.0
Gene0287,Gene0287,protein_coding,0.0
Gene0288,Gene0288,protein_coding,0.0
Gene0289,Gene0289,protein_coding,0.0
Gene0290,Gene0290,protein_coding,0.0
Gene0291,Gene0291,protein_coding,0.0
Gene0292,Gene0292,protein_coding,0.0
Gene0293,Gene0293,protein_coding,0.0
Gene0294,Gene0294,protein_coding,0.0
Gene0295,Gene0295,protein_coding,0.0
Gene0296,Gene0296,protein_coding,0.0
Gene0297,Gene0297,protein_coding,0.0
Gene0298,Gene0298,protein_coding,0.0
Gene0299,Gene0299,protein_coding,0.0
Gene0300,Gene0300,protein_coding,0.0
Gene0301,Gene0301,protein_coding,0.0
Gene0302,Gene0302,protein_coding,0.0
Gene0303,Gene0303,protein_coding,0.0
Gene0304,Gene0304,protein_coding,0.0
Gene0305,Gene0305,protein_coding,0.0
Gene0306,Gene0306,protein_coding,0.0
Gene0307,Gene0307,protein_coding,0.0
Gene0308,Gene0308,protein_coding,0.0
Gene0309,Gene0309,protein_coding,0.0
Gene0310,Gene0310,protein_coding,0.0
Gene0311,Gene0311,protein_coding,0.0
Gene0312,Gene0312,protein_coding,0.0
Gene0313,Gene0313,protein_coding,0.0
Gene0314,Gene0314,protein_coding,0.0
Gene0315,Gene0315,protein_coding,0.0
Gene0316,Gene0316,protein_coding,0.0
Gene0317,Gene0317,protein_coding,0.0
Gene0318,Gene0318,protein_coding,0.0
Gene0319,Gene0319,protein_coding,0.0
Gene0320,Gene0320,protein_coding,0.0
Gene0321,Gene0321,protein_coding,0.0
Gene0322,Gene0322,protein_coding,0.0
Gene0323,Gene0323,protein_coding,0.0
Gene0324,Gene0324,protein_coding,0.0
Gene0325,Gene0325,protein_coding,0.0
Gene0326,Gene0326,protein_coding,0.0
Gene0327,Gene0327,protein_coding,0.0
Gene0328,Gene0328,protein_coding,0.0
Gene0329,Gene0329,protein_coding,0.0
Gene0330,Gene0330,protein_coding,0.0
Gene0331,Gene0331,protein_coding,0.0
Gene0332,Gene0332,protein_coding,0.0
Gene0333,Gene0333,protein_coding,0.0
Gene0334,Gene0334,protein_coding,0.0
Gene0335,Gene0335,protein_coding,0.0
Gene0336,Gene0336,protein_coding,0.0
Gene0337,Gene0337,protein_coding,0.0
Gene0338,Gene0338,protein_coding,0.0
Gene0339,Gene0339,protein_coding,0.0
Gene0340,Gene0340,protein_coding,0.0
Gene0341,Gene0341,protein_coding,0.0
Gene0342,Gene0342,protein_coding,0.0
Gene0343,Gene0343,protein_coding,0.0
Gene0344,Gene0344,protein_coding,0.0
Gene0345,Gene0345,protein_coding,0.0
Gene0346,Gene0346,protein_coding,0.0
Gene0347,Gene0347,protein_coding,0.0
Gene0348,Gene0348,protein_coding,0.0
Gene0349,Gene0349,protein_coding,0.0
Gene0350,Gene0350,protein_coding,0.0
Gene0351,Gene0351,protein_coding,0.0
Gene0352,Gene0352,protein_coding,0.0
Gene0353,Gene0353,protein_coding,0.0
Gene0354,Gene0354,protein_coding,0.0
Gene0355,Gene0355,protein_coding,0.0
Gene0356,Gene0356,protein_coding,0.0
Gene0357,Gene0357,protein_coding,0.0
Gene0358,Gene0358,protein_coding,0.0
Gene0359,Gene0359,protein_coding,0.0
Gene0360,Gene0360,protein_coding,0.0
Gene0361,Gene0361,protein_coding,0.0
Gene0362,Gene0362,protein_coding,0.0
Gene0363,Gene0363,protein_coding,0.0
Gene0364,Gene0364,protein_coding,0.0
Gene0365,Gene0365,protein_coding,0.0
Gene0366,Gene0366,protein_coding,0.0
Gene0367,Gene0367,protein_coding,0.0
Gene0368,Gene0368,protein_coding,0.0
Gene0369,Gene0369,protein_coding,0.0
Gene0370,Gene0370,protein_coding,0.0
Gene0371,Gene0371,protein_coding,0.0
Gene0372,Gene0372,protein_coding,0.0
Gene0373,Gene0373,protein_coding,0.0
Gene0374,Gene0374,protein_coding,0.0
Gene0375,Gene0375,protein_coding,0.0
Gene0376,Gene0376,protein_coding,0.0
Gene0377,Gene0377,protein_coding,0.0
Gene0378,Gene0378,protein_coding,0.0
Gene0379,Gene0379,protein_coding,0.0
Gene0380,Gene0380,protein_coding,0.0
Gene0381,Gene0381,protein_coding,0.0
Gene0382,Gene0382,protein_coding,0.0
Gene0383,Gene0383,protein_coding,0.0
Gene0384,Gene0384,protein_coding,0.0
Gene0385,Gene0385,protein_coding,0.0
Gene0386,Gene0386,protein_coding,0.0
Gene0387,Gene0387,protein_coding,0.0
Gene0388,Gene0388,protein_coding,0.0
Gene0389,Gene0389,protein_coding,0.0
Gene0390,Gene0390,protein_coding,0.0
Gene0391,Gene0391,protein_coding,0.0
Gene0392,Gene0392,protein_coding,0.0
Gene0393,Gene0393,protein_coding,0.0
Gene0394,Gene0394,protein_coding,0.0
Gene0395,Gene0395,protein_coding,0.0
Gene0396,Gene0396,protein_coding,0.0
Gene0397,Gene0397,protein_coding,0.0
Gene0398,Gene0398,protein_coding,0.0
Gene0399,Gene0399,protein_coding,0.0
Gene0400,Gene0400,protein_coding,0.0
Gene0401,Gene0401,protein_coding,0.0
Gene0402,Gene0402,protein_coding,0.0
Gene0403,Gene0403,protein_coding,0.0
Gene0404,Gene0404,protein_coding,0.0
Gene0405,Gene0405,protein_coding,0.0
Gene0406,Gene0406,protein_coding,0.0
Gene0407,Gene0407,protein_coding,0.0
Gene0408,Gene0408,protein_coding,0.0
Gene0409,Gene0409,protein_coding,0.0
Gene0410,Gene0410,protein_coding,0.0
Gene0411,Gene0411,protein_coding,0.0
Gene0412,Gene0412,protein_coding,0.0
Gene0413,Gene0413,protein_coding,0.0
Gene0414,Gene0414,protein_coding,0.0
Gene0415,Gene0415,protein_coding,0.0
Gene0416,Gene0416,protein_coding,0.0
Gene0417,Gene0417,protein_coding,0.0
Gene0418,Gene0418,protein_coding,0.0
Gene0419,Gene0419,protein_coding,0.0
Gene0420,Gene0420,protein_coding,0.0
Gene0421,Gene0421,protein_coding,0.0
Gene0422,Gene0422,protein_coding,0.0
Gene0423,Gene0423,protein_coding,0.0
Gene0424,Gene0424,protein_coding,0.0
Gene0425,Gene0425,protein_coding,0.0
Gene0426,Gene0426,protein_coding,0.0
Gene0427,Gene0427,protein_coding,0.0
Gene0428,Gene0428,protein_coding,0.0
Gene0429,Gene0429,protein_coding,0.0
Gene0430,Gene0430,protein_coding,0.0
Gene0431,Gene0431,protein_coding,0.0
Gene0432,Gene0432,protein_coding,0.0
Gene0433,Gene0433,protein_coding,0.0
Gene0434,Gene0434,protein_coding,0.0
Gene0435,Gene0435,protein_coding,0.0
Gene0436,Gene0436,protein_coding,0.0
Gene0437,Gene0437,protein_coding,0.0
Gene0438,Gene0438,protein_coding,0.0
Gene0439,Gene0439,protein_coding,0.0
Gene0440,Gene0440,protein_coding,0.0
Gene0441,Gene0441,protein_coding,0.0
Gene0442,Gene0442,protein_coding,0.0
Gene0443,Gene0443,protein_coding,0.0
Gene0444,Gene0444,protein_coding,0.0
Gene0445,Gene0445,protein_coding,0.0
Gene0446,Gene0446,protein_coding,0.0
Gene0447,Gene0447,protein_coding,0.0
Gene0448,Gene0448,protein_coding,0.0
Gene0449,Gene0449,protein_coding,0.0
Gene0450,Gene0450,protein_coding,0.0
Gene0451,Gene0451,protein_coding,0.0
Gene0452,Gene0452,protein_coding,0.0
Gene0453,Gene0453,protein_coding,0.0
Gene0454,Gene0454,protein_coding,0.0
Gene0455,Gene0455,protein_coding,0.0
Gene0456,Gene0456,protein_coding,0.0
Gene0457,Gene0457,protein_coding,0.0
Gene0458,Gene0458,protein_coding,0.0
Gene0459,Gene0459,protein_coding,0.0
Gene0460,Gene0460,protein_coding,0.0
Gene0461,Gene0461,protein_coding,0.0
Gene0462,Gene0462,protein_coding,0.0
Gene0463,Gene0463,protein_coding,0.0
Gene0464,Gene0464,protein_coding,0.0
Gene0465,Gene0465,protein_coding,0.0
Gene0466,Gene0466,protein_coding,0.0
Gene0467,Gene0467,protein_coding,0.0
Gene0468,Gene0468,protein_coding,0.0
Gene0469,Gene0469,protein_coding,0.0
Gene0470,Gene0470,protein_coding,0.0
Gene0471,Gene0471,protein_coding,0.0
Gene0472,Gene0472,protein_coding,0.0
Gene0473,Gene0473,protein_coding,0.0
Gene0474,Gene0474,protein_coding,0.0
Gene0475,Gene0475,protein_coding,0.0
Gene0476,Gene0476,protein_coding,0.0
Gene0477,Gene0477,protein_coding,0.0
Gene0478,Gene0478,protein_coding,0.0
Gene0479,Gene0479,protein_coding,0.0
Gene0480,Gene0480,protein_coding,0.0
Gene0481,Gene0481,protein_coding,0.0
Gene0482,Gene0482,protein_coding,0.0
Gene0483,Gene0483,protein_coding,0.0
Gene0484,Gene0484,protein_coding,0.0
Gene0485,Gene0485,protein_coding,0.0
Gene0486,Gene0486,protein_coding,0.0
Gene0487,Gene0487,protein_coding,0.0
Gene0488,Gene0488,protein_coding,0.0
Gene0489,Gene0489,protein_coding,0.0
Gene0490,Gene0490,protein_coding,0.0
Gene0491,Gene0491,protein_coding,0.0
Gene0492,Gene0492,protein_coding,0.0
Gene0493,Gene0493,protein_coding,0.0
Gene0494,Gene0494,protein_coding,0.0
Gene0495,Gene0495,protein_coding,0.0
Gene0496,Gene0496,protein_coding,0.0
Gene0497,Gene0497,protein_coding,0.0
Gene0498,Gene0498,protein_coding,0.0
Gene0499,Gene0499,protein_coding,0.0
Gene0500,Gene0500,protein_coding,0.0
Gene0501,Gene0501,protein_coding,0.0
Gene0502,Gene0502,protein_coding,0.0
Gene0503,Gene0503,protein_coding,0.0
Gene0504,Gene0504,protein_coding,0.0
Gene0505,Gene0505,protein_coding,0.0
Gene0506,Gene0506,protein_coding,0.0
Gene0507,Gene0507,protein_coding,0.0
Gene0508,Gene0508,protein_coding,0.0
Gene0509,Gene0509,protein_coding,0.0
Gene0510,Gene0510,protein_coding,0.0
Gene0511,Gene0511,protein_coding,0.0
Gene0512,Gene0512,protein_coding,0.0
Gene0513,Gene0513,protein_coding,0.0
Gene0514,Gene0514,protein_coding,0.0
Gene0515,Gene0515,protein_coding,0.0
Gene0516,Gene0516,protein_coding,0.0
Gene0517,Gene0517,protein_coding,0.0
Gene0518,Gene0518,protein_coding,0.0
Gene0519,Gene0519,protein_coding,0.0
Gene0520,Gene0520,protein_coding,0.0
Gene0521,Gene0521,protein_coding,0.0
Gene0522,Gene0522,protein_coding,0.0
Gene0523,Gene0523,protein_coding,0.0
Gene0524,Gene0524,protein_coding,0.0
Gene0525,Gene0525,protein_coding,0.0
Gene0526,Gene0526,protein_coding,0.0
Gene0527,Gene0527,protein_coding,0.0
Gene0528,Gene0528,protein_coding,0.0
Gene0529,Gene0529,protein_coding,0.0
Gene0530,Gene0530,protein_coding,0.0
Gene0531,Gene0531,protein_coding,0.0
Gene0532,Gene0532,protein_coding,0.0
Gene0533,Gene0533,protein_coding,0.0
Gene0534,Gene0534,protein_coding,0.0
Gene0535,Gene0535,protein_coding,0.0
Gene0536,Gene0536,protein_coding,0.0
Gene0537,Gene0537,protein_coding,0.0
Gene0538,Gene0538,protein_coding,0.0
Gene0539,Gene0539,protein_coding,0.0
Gene0540,Gene0540,protein_coding,0.0
Gene0541,Gene0541,protein_coding,0.0
Gene0542,Gene0542,protein_coding,0.0
Gene0543,Gene0543,protein_coding,0.0
Gene0544,Gene0544,protein_coding,0.0
Gene0545,Gene0545,protein_coding,0.0
Gene0546,Gene0546,protein_coding,0.0
Gene0547,Gene0547,protein_coding,0.0
Gene0548,Gene0548,protein_coding,0.0
Gene0549,Gene0549,protein_coding,0.0
Gene0550,Gene0550,protein_coding,0.0
Gene0551,Gene0551,protein_coding,0.0
Gene0552,Gene0552,protein_coding,0.0
Gene0553,Gene0553,protein_coding,0.0
Gene0554,Gene0554,protein_coding,0.0
Gene0555,Gene0555,protein_coding,0.0
Gene0556,Gene0556,protein_coding,0.0
Gene0557,Gene0557,protein_coding,0.0
Gene0558,Gene0558,protein_coding,0.0
Gene0559,Gene0559,protein_coding,0.0
Gene0560,Gene0560,protein_coding,0.0
Gene0561,Gene0561,protein_coding,0.0
Gene0562,Gene0562,protein_coding,0.0
Gene0563,Gene0563,protein_coding,0.0
Gene0564,Gene0564,protein_coding,0.0
Gene0565,Gene0565,protein_coding,0.0
Gene0566,Gene0566,protein_coding,0.0
Gene0567,Gene0567,protein_coding,0.0
Gene0568,Gene0568,protein_coding,0.0
Gene0569,Gene0569,protein_coding,0.0
Gene0570,Gene0570,protein_coding,0.0
Gene0571,Gene0571,protein_coding,0.0
Gene0572,Gene0572,protein_coding,0.0
Gene0573,Gene0573,protein_coding,0.0
Gene0574,Gene0574,protein_coding,0.0
Gene0575,Gene0575,protein_coding,0.0
Gene0576,Gene0576,protein_coding,0.0
Gene0577,Gene0577,protein_coding,0.0
Gene0578,Gene0578,protein_coding,0.0
Gene0579,Gene0579,protein_coding,0.0
Gene0580,Gene0580,protein_coding,0.0
Gene0581,Gene0581,protein_coding,0.0
Gene0582,Gene0582,protein_coding,0.0
Gene0583,Gene0583,protein_coding,0.0
Gene0584,Gene0584,protein_coding,0.0
Gene0585,Gene0585,protein_coding,0.0
Gene0586,Gene0586,protein_coding,0.0
Gene0587,Gene0587,protein_coding,0.0
Gene0588,Gene0588,protein_coding,0.0
Gene0589,Gene0589,protein_coding,0.0
Gene0590,Gene0590,protein_coding,0.0
Gene0591,Gene0591,protein_coding,0.0
Gene0592,Gene0592,protein_coding,0.0
Gene0593,Gene0593,protein_coding,0.0
Gene0594,Gene0594,protein_coding,0.0
Gene0595,Gene0595,protein_coding,0.0
Gene0596,Gene0596,protein_coding,0.0
Gene0597,Gene0597,protein_coding,0.0
Gene0598,Gene0598,protein_coding,0.0
Gene0599,Gene0599,protein_coding,0.0
Gene0600,Gene0600,protein_coding,0.0
Gene0601,Gene0601,protein_coding,0.0
Gene0602,Gene0602,protein_coding,0.0
Gene0603,Gene0603,protein_coding,0.0
Gene0604,Gene0604,protein_coding,0.0
Gene0605,Gene0605,protein_coding,0.0
Gene0606,Gene0606,protein_coding,0.0
Gene0607,Gene0607,protein_coding,0.0
Gene0608,Gene0608,protein_coding,0.0
Gene0609,Gene0609,protein_coding,0.0
Gene0610,Gene0610,protein_coding,0.0
Gene0611,Gene0611,protein_coding,0.0
Gene0612,Gene0612,protein_coding,0.0
Gene0613,Gene0613,protein_coding,0.0
Gene0614,Gene0614,protein_coding,0.0
Gene0615,Gene0615,protein_coding,0.0
Gene0616,Gene0616,protein_coding,0.0
Gene0617,Gene0617,protein_coding,0.0
Gene0618,Gene0618,protein_coding,0.0
Gene0619,Gene0619,protein_coding,0.0
Gene0620,Gene0620,protein_coding,0.0
Gene0621,Gene0621,protein_coding,0.0
Gene0622,Gene0622,protein_coding,0.0
Gene0623,Gene0623,protein_coding,0.0
Gene0624,Gene0624,protein_coding,0.0
Gene0625,Gene0625,protein_coding,0.0
Gene0626,Gene0626,protein_coding,0.0
Gene0627,Gene0627,protein_coding,0.0
Gene0628,Gene0628,protein_coding,0.0
Gene0629,Gene0629,protein_coding,0.0
Gene0630,Gene0630,protein_coding,0.0
Gene0631,Gene0631,protein_coding,0.0
