,CA1,CA2,TA1,TA2,CB1,CB2,TB1,TB2,CC1,CC2,TC1,TC2
Gene0044,39,22,66,20,39,40,35,58,15,17,35,66
Gene0045,232,225,214,444,144,154,784,282,155,109,236,269
Gene0046,521,2366,2552,3015,1538,1089,4126,1976,649,1106,2545,1593
Gene0047,70,48,206,110,67,71,95,209,113,61,134,228
Gene0048,31,65,121,88,31,51,158,84,15,80,88,74
Gene0049,131,74,291,520,118,98,331,574,147,110,235,279
Gene0050,172,119,289,235,104,281,318,436,71,99,120,295
Gene0051,174,228,367,405,246,118,312,468,156,66,370,360
Gene0052,45,29,166,99,76,41,221,79,48,55,102,79
Gene0053,54,29,169,97,27,41,185,51,27,41,75,58
Gene0054,44,44,83,136,49,38,198,177,45,48,163,139
Gene0055,23,17,33,26,41,15,62,102,23,19,40,57
Gene0056,124,116,239,359,192,108,484,262,140,97,254,118
Gene0057,15,17,33,86,15,10,63,88,25,31,48,57
Gene0058,107,83,120,354,70,73,451,170,91,164,377,355
Gene0059,52,76,163,135,93,106,171,177,48,35,203,187
Gene0060,21,59,90,142,94,74,200,164,59,36,77,101
Gene0061,10,11,7,4,24,11,13,8,18,11,7,4
Gene0062,150,176,77,106,454,276,106,79,205,174,66,59
Gene0063,21,34,7,18,32,31,9,24,28,24,10,12
Gene0064,19,20,4,7,12,31,6,5,30,19,19,3
Gene0065,71,38,17,35,68,60,42,19,49,57,19,21
Gene0066,163,108,118,101,348,304,82,102,155,230,85,92
Gene0067,119,116,15,36,101,93,21,41,65,69,68,40
Gene0068,18,34,25,12,20,21,15,12,34,32,22,22
Gene0069,2,2,2,0,5,16,1,3,7,10,3,2
Gene0070,282,277,137,154,321,310,80,132,185,386,129,74
Gene0071,207,174,102,56,106,122,113,100,71,187,65,52
Gene0072,66,43,12,22,41,36,23,20,25,21,28,8
Gene0073,84,67,35,33,88,146,61,52,95,106,19,38
Gene0074,130,77,33,55,127,60,34,42,82,115,22,44
Gene0075,842,882,342,156,1258,801,356,474,228,324,209,111
Gene0076,43,62,31,18,42,36,12,37,54,77,19,20
Gene0077,168,85,103,99,432,103,91,75,155,230,40,64
Gene0078,79,80,55,37,49,117,32,36,75,62,16,14
Gene0079,18,15,8,4,19,38,8,15,23,43,9,6
Gene0080,94,79,38,20,123,71,32,40,55,80,45,44
Gene0081,81,140,21,119,156,76,67,51,89,153,72,59
Gene0082,118,155,76,68,213,213,147,154,122,195,95,145
Gene0083,14,7,8,11,9,7,4,7,6,4,8,0
Gene0084,82,191,144,107,140,255,114,57,145,175,60,68
Gene0085,222,218,135,112,215,230,102,93,298,276,81,47
Gene0086,74,33,12,20,49,63,22,27,58,64,9,21
Gene0087,71,86,19,43,59,164,53,24,18,40,18,18
Gene0088,50,69,18,43,60,61,20,23,42,36,16,32
Gene0089,204,226,94,126,325,320,119,253,210,171,135,114
Gene0090,137,447,37,65,206,141,50,77,142,142,75,91
Gene0091,331,335,89,198,282,258,211,111,281,239,96,187
Gene0092,72,73,27,45,87,54,33,33,79,35,8,19
Gene0093,181,135,69,50,63,87,37,52,90,66,25,26
Gene0094,139,72,50,49,186,149,58,61,85,66,79,67
Gene0095,62,45,16,6,61,25,12,23,31,48,24,16
Gene0096,27,17,11,8,26,30,20,12,11,23,7,10
Gene0097,96,128,74,51,171,77,38,42,261,142,47,58
Gene0098,235,163,71,107,225,400,105,80,266,226,66,42
Gene0099,69,84,40,55,137,125,33,45,65,62,38,24
Gene0100,78,45,12,24,39,77,13,17,52,73,14,12
Gene0101,88,136,129,81,142,101,153,145,156,82,58,59
Gene0102,51,112,124,50,117,191,199,111,89,90,63,164
Gene0103,14,32,20,60,27,25,38,63,41,19,26,39
Gene0104,1129,1382,881,1365,343,1831,1401,997,712,762,680,877
Gene0105,35,64,23,69,53,106,43,60,51,40,70,54
Gene0106,51,50,31,47,45,30,75,28,61,62,25,31
Gene0107,199,295,144,282,308,150,280,172,198,276,155,157
Gene0108,122,85,119,69,105,44,136,153,46,98,77,63
Gene0109,409,604,301,203,283,256,208,215,249,221,169,355
Gene0110,14,9,6,7,10,18,13,9,8,10,21,15
Gene0111,64,101,36,130,55,231,101,134,65,50,144,73
Gene0112,15,14,24,12,19,30,13,29,23,9,45,36
Gene0113,64,126,98,23,199,195,108,100,120,118,143,72
Gene0114,10,15,39,11,26,21,36,17,30,15,27,18
Gene0115,165,95,121,167,132,159,83,165,121,93,109,140
Gene0116,16,30,27,15,26,12,30,35,33,29,30,32
Gene0117,114,120,97,143,133,93,152,134,146,79,121,106
Gene0118,20,49,24,29,57,19,43,27,39,30,40,19
Gene0119,73,60,92,32,67,104,90,150,35,55,26,50
Gene0120,81,125,142,155,157,164,118,128,50,104,123,72
Gene0121,136,103,136,106,87,108,104,83,119,93,127,112
Gene0122,33,91,100,130,56,73,89,50,97,94,66,46
Gene0123,33,31,15,19,18,43,64,38,32,36,21,32
Gene0124,82,150,172,122,125,205,156,105,98,102,101,100
Gene0125,3,10,3,9,3,3,2,13,3,1,4,11
Gene0126,150,237,146,229,179,174,45,184,179,94,176,329
Gene0127,178,118,80,66,141,84,114,88,76,89,126,50
Gene0128,100,88,85,98,113,124,142,206,96,101,102,147
Gene0129,21,42,32,44,35,43,36,23,32,29,39,14
Gene0130,120,116,136,75,149,68,135,129,89,144,147,120
Gene0131,37,71,86,65,94,70,48,62,33,51,46,57
Gene0132,28,13,24,15,21,23,15,18,28,15,10,24
Gene0133,24,49,37,78,67,54,71,37,23,51,42,20
Gene0134,158,65,158,98,79,51,161,152,79,43,115,109
Gene0135,42,17,29,34,40,40,20,44,54,18,28,49
Gene0136,349,386,384,488,232,413,435,455,223,307,248,279
Gene0137,25,43,35,30,60,52,44,44,5,15,30,24
Gene0138,32,33,24,36,58,44,50,32,19,26,36,31
Gene0139,347,349,299,221,273,283,166,230,251,161,136,145
Gene0140,304,354,236,265,205,190,255,325,231,255,92,149
Gene0141,105,156,149,179,164,225,220,301,236,120,151,183
Gene0142,166,26,82,55,62,82,128,156,42,109,127,123
Gene0143,115,122,88,104,75,83,110,106,144,25,77,66
Gene0144,17,33,20,31,40,35,36,26,43,41,21,49
Gene0145,8,9,13,4,17,22,31,15,12,9,12,9
Gene0146,245,197,162,164,218,161,148,190,179,161,126,178
Gene0147,93,121,113,96,119,95,10,42,46,57,60,49
Gene0148,118,239,88,22,87,80,275,44,35,125,83,48
Gene0149,59,18,54,20,60,34,51,13,23,41,26,46
Gene0150,89,59,110,98,41,145,85,143,52,98,53,82
Gene0151,669,430,190,312,476,307,522,524,282,343,307,260
Gene0152,185,209,134,121,283,188,103,188,117,155,107,102
Gene0153,90,151,33,91,68,51,147,21,63,134,68,49
Gene0154,18,4,11,9,6,13,4,28,12,18,17,12
Gene0155,25,22,30,24,21,36,39,41,23,12,13,17
Gene0156,34,39,61,95,85,51,48,35,62,51,47,37
Gene0157,239,280,183,237,284,239,229,189,285,344,123,290
Gene0158,186,132,227,258,109,319,226,24,83,185,191,184
Gene0159,28,50,126,65,113,83,142,117,47,101,72,78
Gene0160,870,824,758,845,680,495,715,736,478,711,593,442
Gene0161,198,248,138,162,81,234,157,77,75,79,73,93
Gene0162,74,64,48,53,84,66,77,84,46,33,61,54
Gene0163,45,128,129,114,119,170,166,121,97,141,87,86
Gene0164,22,21,6,31,30,27,28,54,31,26,30,26
Gene0165,155,92,63,66,125,68,127,179,94,129,128,90
Gene0166,45,28,40,29,36,31,11,19,35,28,23,5
Gene0167,25,54,58,41,62,34,49,80,41,34,39,46
Gene0168,45,32,53,94,29,65,83,34,35,38,55,38
Gene0169,34,92,98,70,110,41,30,108,79,71,99,64
Gene0170,17,14,13,38,18,13,26,20,15,15,10,16
Gene0171,754,920,481,950,595,776,446,961,413,482,403,588
Gene0172,12,15,18,15,20,31,23,25,13,16,13,10
Gene0173,33,37,25,24,43,37,25,67,27,19,8,25
Gene0174,217,308,383,398,583,469,477,611,401,428,292,438
Gene0175,214,201,113,198,253,159,250,254,106,215,197,298
Gene0176,26,11,18,52,29,7,37,41,40,29,19,21
Gene0177,65,152,184,250,298,228,390,225,105,83,104,87
Gene0178,58,73,41,91,52,125,65,78,51,62,67,66
Gene0179,36,33,43,28,33,28,18,27,48,31,30,31
Gene0180,136,121,95,72,82,48,106,140,81,94,56,47
Gene0181,270,186,126,244,223,103,148,122,125,163,117,129
Gene0182,7,1,8,14,19,22,12,19,15,20,20,7
Gene0183,35,19,44,24,34,41,52,59,44,31,12,53
Gene0184,197,269,246,92,115,233,128,299,155,216,126,189
Gene0185,40,12,40,31,57,65,35,30,31,21,40,26
Gene0186,146,94,158,157,125,107,102,213,135,130,120,98
Gene0187,27,18,9,23,33,21,39,32,15,14,25,36
Gene0188,67,71,46,77,40,29,101,58,41,52,44,59
Gene0189,98,80,101,100,101,123,64,32,103,85,132,86
Gene0190,107,99,88,139,63,126,103,126,98,121,46,83
Gene0191,147,349,244,334,198,671,164,107,145,280,201,163
Gene0192,3,7,4,5,10,9,6,17,5,2,7,4
Gene0193,137,172,158,196,219,329,154,115,294,241,121,160
Gene0194,130,81,114,51,49,92,319,57,53,130,213,186
Gene0195,404,599,265,415,330,296,331,552,415,236,289,418
Gene0196,65,74,37,22,74,129,75,60,22,47,59,109
Gene0197,45,52,48,53,31,70,45,65,36,34,47,13
Gene0198,121,133,264,163,187,135,217,172,134,95,101,187
Gene0199,27,64,34,35,88,48,26,57,54,48,15,26
Gene0200,36,60,66,198,85,195,184,128,138,97,75,71
Gene0201,86,125,75,54,87,76,217,75,192,164,62,139
Gene0202,46,37,63,25,42,58,24,30,22,40,34,39
Gene0203,13,19,16,15,15,37,30,14,14,36,10,14
Gene0204,36,24,13,19,54,26,21,18,27,22,33,20
Gene0205,25,32,23,24,41,43,34,21,21,24,34,6
Gene0206,20,39,27,41,23,35,44,28,31,19,24,19
Gene0207,31,59,19,32,24,18,40,20,22,25,33,28
Gene0208,94,91,83,66,85,118,105,70,98,80,86,86
Gene0209,22,11,62,91,63,88,47,58,55,54,30,32
Gene0210,23,8,17,23,36,17,34,28,15,30,33,11
Gene0211,181,110,167,78,118,75,141,89,56,121,134,230
Gene0212,260,308,252,207,301,161,297,418,332,373,158,341
Gene0213,51,61,35,7,34,57,46,28,21,19,41,19
Gene0214,134,168,186,187,264,293,86,149,123,131,153,100
Gene0215,208,106,94,331,234,158,221,94,142,125,218,232
Gene0216,23,52,31,40,51,18,29,26,39,20,35,19
Gene0217,47,24,46,32,58,39,40,54,56,24,58,42
Gene0218,177,171,61,102,119,100,136,172,115,123,159,149
Gene0219,145,155,62,126,253,158,342,200,31,69,139,132
Gene0220,88,86,33,83,32,55,66,44,64,50,82,39
Gene0221,31,66,22,40,25,23,34,42,28,30,27,37
Gene0222,146,205,92,96,113,247,94,103,88,80,63,88
Gene0223,417,545,513,273,875,566,333,597,536,326,697,453
Gene0224,132,92,100,110,170,92,50,111,112,117,94,174
Gene0225,26,42,50,29,70,45,26,60,15,27,28,17
Gene0226,72,73,178,80,124,174,80,81,18,88,88,157
Gene0227,281,220,114,217,190,380,247,139,296,142,224,117
Gene0228,294,616,282,584,391,324,627,981,120,138,532,190
Gene0229,11,3,8,12,11,13,8,12,7,2,11,9
Gene0230,314,702,287,696,369,314,585,100,684,410,518,469
Gene0231,56,80,58,103,106,43,68,52,36,72,47,70
Gene0232,114,116,149,114,124,52,63,99,128,68,97,75
Gene0233,133,134,246,126,109,212,139,116,97,103,111,120
Gene0234,31,36,27,15,39,40,32,28,46,21,44,16
Gene0235,71,74,74,46,77,78,108,47,97,47,55,80
Gene0236,80,165,84,124,99,139,122,183,76,155,86,64
Gene0237,46,30,76,34,28,18,80,34,40,30,41,37
Gene0238,184,232,67,142,78,346,206,300,153,233,222,99
Gene0239,1449,792,1369,1156,1892,1448,1790,654,697,1329,1377,1073
Gene0240,126,105,99,69,51,127,64,37,107,94,33,49
Gene0241,61,93,58,99,83,116,94,92,60,65,53,86
Gene0242,1,6,2,11,2,5,7,5,3,9,9,6
Gene0243,64,131,78,110,88,181,137,61,17,138,45,57
Gene0244,48,69,47,31,105,95,80,48,37,72,58,52
Gene0245,38,51,98,161,151,123,80,63,97,86,86,252
Gene0246,412,268,332,299,273,293,232,118,287,416,279,410
Gene0247,18,19,21,16,42,25,13,9,35,15,26,28
Gene0248,104,122,67,134,199,132,170,125,56,65,44,89
Gene0249,19,9,17,37,19,15,24,32,15,33,12,7
Gene0250,11,19,18,18,11,20,19,15,6,15,13,22
Gene0251,42,49,65,51,97,51,82,38,61,50,45,52
Gene0252,109,76,174,39,125,48,72,44,54,93,119,67
Gene0253,77,91,33,51,49,54,35,52,36,88,60,68
Gene0254,42,49,37,29,61,46,45,48,24,55,43,45
Gene0255,30,22,12,17,39,35,31,18,24,22,16,17
Gene0256,362,455,374,252,340,518,491,369,483,296,417,316
Gene0257,29,36,34,30,24,41,45,60,10,41,47,40
Gene0258,366,629,586,481,311,733,748,398,371,391,555,602
Gene0259,14,31,18,23,22,26,32,26,16,16,22,24
Gene0260,29,48,10,25,8,21,16,14,15,9,17,6
Gene0261,32,28,38,42,48,36,62,47,32,17,42,24
Gene0262,17,18,11,13,30,8,17,20,25,28,18,22
Gene0263,37,20,18,20,17,18,9,38,11,16,32,7
Gene0264,37,46,52,49,55,71,41,75,57,49,108,27
Gene0265,26,38,34,29,57,45,65,37,48,39,49,40
Gene0266,251,166,108,126,224,328,194,173,227,119,142,152
Gene0267,117,124,132,161,214,137,208,145,160,238,310,172
Gene0268,81,71,51,76,49,100,68,54,61,61,36,71
Gene0269,11,16,6,8,15,21,11,9,8,6,22,8
Gene0270,68,67,89,67,90,125,38,110,136,93,46,112
Gene0271,14,25,17,31,15,14,39,10,19,21,8,10
Gene0272,10,2,22,25,29,17,12,5,25,19,14,12
Gene0273,48,67,43,87,48,90,53,108,71,56,41,34
Gene0274,84,79,98,76,94,171,171,107,75,124,200,76
Gene0275,747,576,618,248,828,464,568,431,422,353,833,601
Gene0276,14,12,6,8,23,13,15,13,11,14,4,8
Gene0277,45,68,54,84,151,76,63,44,24,53,23,66
Gene0278,109,152,165,128,374,282,239,278,222,177,165,179
Gene0279,23,43,75,51,80,24,121,40,32,33,65,62
Gene0280,39,54,58,29,25,72,47,37,52,43,30,81
Gene0281,5,8,14,15,7,13,7,9,3,7,13,12
Gene0282,10,10,15,7,7,9,10,4,8,13,11,11
Gene0283,22,18,43,36,30,30,20,56,42,43,43,28
Gene0284,82,145,103,133,118,193,314,87,118,52,152,56
Gene0285,68,17,51,38,38,56,21,77,37,40,67,29
Gene0286,21,22,31,15,24,31,13,40,26,19,31,16
Gene0287,264,221,296,619,379,404,671,503,269,224,230,275
Gene0288,62,40,46,21,44,70,61,24,44,42,40,36
Gene0289,148,282,539,354,515,678,411,261,634,304,523,382
Gene0290,150,197,186,161,361,123,195,118,147,100,123,93
Gene0291,33,80,77,44,50,40,33,49,26,61,42,41
Gene0292,141,177,186,231,236,388,167,379,124,279,358,232
Gene0293,83,98,71,86,125,106,71,75,62,64,76,76
Gene0294,36,31,13,24,20,26,40,32,14,25,42,18
Gene0295,45,98,125,171,85,234,150,180,151,200,85,129
Gene0296,77,26,72,62,50,107,40,59,55,43,44,71
Gene0297,37,42,46,21,59,12,26,30,29,15,35,51
Gene0298,79,50,46,41,94,39,120,46,41,49,44,37
Gene0299,73,207,67,151,159,104,91,242,76,88,161,180
Gene0300,80,106,82,112,81,143,137,53,66,16,72,124
Gene0301,31,13,16,21,22,34,13,26,18,27,15,8
Gene0302,251,306,119,255,278,298,369,185,159,90,132,274
Gene0303,26,33,36,26,80,33,37,42,19,23,53,52
Gene0304,278,430,419,212,310,519,382,358,318,445,154,111
Gene0305,15,39,36,10,23,27,26,35,18,32,22,17
Gene0306,23,35,32,16,42,16,46,27,27,32,27,40
Gene0307,32,27,30,37,36,30,62,83,61,41,34,48
Gene0308,384,120,418,369,412,232,258,247,402,293,315,217
Gene0309,32,9,11,37,16,55,40,29,23,66,33,28
Gene0310,41,44,40,30,72,70,77,46,24,31,50,75
Gene0311,99,302,309,239,363,418,131,551,168,357,122,136
Gene0312,259,174,213,121,128,315,245,249,316,272,219,257
Gene0313,88,130,68,66,83,91,127,40,62,30,86,54
Gene0314,27,13,9,10,20,15,28,11,14,15,13,4
Gene0315,71,55,148,103,40,74,93,61,58,131,121,87
Gene0316,335,395,146,344,358,578,365,628,291,243,319,154
Gene0317,85,94,6,127,78,164,20,93,93,61,55,64
Gene0318,30,37,28,45,24,35,31,34,39,33,28,32
Gene0319,4,6,4,7,8,4,6,10,7,0,3,1
Gene0320,249,201,164,149,72,129,98,179,298,108,148,226
Gene0321,165,487,435,406,273,579,364,458,511,281,479,405
Gene0322,277,167,186,222,112,159,357,209,254,236,250,158
Gene0323,281,283,313,366,497,363,193,307,427,314,357,198
Gene0324,80,45,127,40,33,76,48,134,59,22,61,35
Gene0325,110,157,136,96,122,99,118,156,103,117,70,182
Gene0326,90,105,107,87,105,101,89,93,66,102,71,69
Gene0327,82,83,48,111,52,105,21,57,38,14,34,45
Gene0328,281,191,113,171,435,193,132,246,30,185,223,305
Gene0329,38,39,22,25,35,41,16,60,46,36,33,53
Gene0330,35,53,53,33,58,36,41,49,16,36,24,27
Gene0331,28,49,35,26,43,46,52,34,41,39,25,28
Gene0332,179,538,245,221,310,399,144,325,207,435,260,322
Gene0333,79,70,106,175,149,101,164,136,153,19,97,58
Gene0334,43,73,113,98,87,167,10,167,50,206,72,73
Gene0335,172,164,200,143,346,185,133,342,125,204,169,129
Gene0336,173,270,299,210,288,382,270,184,125,139,220,203
Gene0337,21,26,29,28,18,31,39,48,18,27,28,25
Gene0338,87,69,119,138,110,133,123,98,118,130,158,145
Gene0339,196,185,148,130,308,187,142,260,92,124,202,189
Gene0340,23,34,57,39,35,70,35,41,26,40,51,49
Gene0341,25,49,38,33,46,36,58,55,39,23,17,33
Gene0342,371,714,380,363,469,292,362,503,244,225,255,394
Gene0343,99,56,112,131,179,83,152,99,100,57,111,126
Gene0344,45,38,40,65,38,61,51,47,30,63,40,35
Gene0345,121,52,224,146,99,207,141,150,146,160,145,80
Gene0346,72,90,124,103,105,102,132,23,37,141,44,57
Gene0347,96,120,120,101,108,139,157,64,78,123,158,92
Gene0348,231,165,122,168,153,245,146,119,101,162,71,126
Gene0349,647,339,108,214,525,315,499,427,414,909,431,203
Gene0350,54,78,54,55,51,47,63,85,68,81,81,75
Gene0351,15,27,22,14,31,26,22,21,12,14,22,14
Gene0352,31,40,58,51,42,46,31,65,65,64,42,55
Gene0353,168,134,312,193,258,200,169,192,210,182,56,226
Gene0354,75,61,100,82,127,91,141,221,84,108,53,68
Gene0355,228,407,502,375,481,464,692,1093,662,697,316,605
Gene0356,39,48,22,40,22,45,33,36,38,16,39,21
Gene0357,250,217,317,449,139,329,356,255,113,201,143,92
Gene0358,103,69,64,97,41,67,124,44,54,96,84,130
Gene0359,24,34,62,55,74,38,87,50,62,27,95,32
Gene0360,241,119,122,91,121,124,269,205,160,191,95,154
Gene0361,161,230,255,138,111,263,173,294,266,95,146,161
Gene0362,87,17,30,30,28,33,40,63,45,65,15,28
Gene0363,124,178,46,135,119,185,170,74,155,31,119,308
Gene0364,25,29,36,27,29,19,35,32,32,28,5,16
Gene0365,59,74,107,54,79,55,91,68,93,51,52,75
Gene0366,41,133,172,99,200,180,121,141,137,79,125,58
Gene0367,9,2,8,11,10,10,9,3,4,3,6,7
Gene0368,33,39,24,65,23,40,62,69,32,26,53,60
Gene0369,196,258,422,313,308,521,455,322,338,196,430,246
Gene0370,48,26,45,37,38,46,25,35,5,47,35,22
Gene0371,71,105,105,165,170,100,231,118,143,154,89,81
Gene0372,125,104,110,64,135,110,99,106,75,118,61,50
Gene0373,281,213,146,425,125,273,301,137,280,171,121,307
Gene0374,75,149,129,41,108,142,145,144,105,81,63,80
Gene0375,139,136,125,148,226,216,76,227,131,144,105,169
Gene0376,69,82,40,43,83,39,52,23,57,22,62,9
Gene0377,19,83,31,56,32,30,54,27,28,56,29,21
Gene0378,97,87,37,66,63,76,77,24,67,82,49,74
Gene0379,138,141,72,147,242,77,219,154,106,108,122,50
Gene0380,24,44,13,39,20,103,16,12,8,30,16,45
Gene0381,55,142,123,148,94,75,55,66,112,92,86,28
Gene0382,39,84,53,74,74,78,55,87,74,56,58,59
Gene0383,67,93,89,100,142,115,161,102,54,56,44,90
Gene0384,37,40,49,27,33,22,36,48,41,27,45,27
Gene0385,6,10,7,8,4,6,9,8,2,2,10,7
Gene0386,346,131,266,276,570,294,392,469,359,102,416,368
Gene0387,72,67,109,99,60,101,133,175,146,72,134,95
Gene0388,468,373,171,166,244,327,148,166,219,136,201,302
Gene0389,11,12,25,26,6,17,22,11,20,15,11,6
Gene0390,170,64,105,78,68,92,77,59,56,92,67,26
Gene0391,50,57,54,28,35,61,53,94,14,42,70,24
Gene0392,51,47,46,45,41,100,43,63,44,36,57,57
Gene0393,90,58,45,89,69,79,79,89,53,66,70,52
Gene0394,244,84,152,224,194,226,213,329,147,185,213,175
Gene0395,8,9,6,15,3,7,17,11,4,9,5,5
Gene0396,54,62,49,85,104,96,118,83,64,45,63,111
Gene0397,91,94,314,199,134,257,168,255,453,118,160,155
Gene0398,189,239,105,112,312,87,344,280,176,205,145,89
Gene0399,5,13,10,14,7,6,9,4,10,3,3,11
Gene0400,36,21,33,25,35,23,45,15,17,28,28,31
Gene0401,38,22,67,24,47,28,32,27,17,15,20,18
Gene0402,36,33,32,81,38,106,82,119,27,80,30,47
Gene0403,23,27,13,15,19,23,34,26,13,19,20,11
Gene0404,66,46,91,69,191,165,104,99,139,115,95,66
Gene0405,256,145,87,224,250,159,94,204,103,79,170,132
Gene0406,57,68,39,121,106,63,91,55,74,65,40,104
Gene0407,23,15,36,10,27,9,24,15,14,33,16,22
Gene0408,301,152,494,417,304,412,243,436,103,421,543,523
Gene0409,31,24,41,49,50,43,43,47,49,31,38,51
Gene0410,96,108,100,81,149,95,132,88,116,51,68,85
Gene0411,183,130,78,170,231,232,186,255,227,115,104,113
Gene0412,137,101,117,136,81,134,78,134,67,62,45,106
Gene0413,210,75,114,156,128,256,64,161,189,36,122,71
Gene0414,706,706,433,948,800,1022,610,1427,457,890,471,409
Gene0415,30,31,44,38,49,65,38,38,23,22,37,44
Gene0416,49,94,69,61,54,49,64,74,50,61,54,25
Gene0417,37,23,40,23,87,58,76,65,48,35,55,55
Gene0418,70,105,64,113,130,149,105,143,128,75,53,120
Gene0419,75,81,68,22,59,26,78,58,23,40,23,54
Gene0420,225,133,383,188,243,351,243,185,312,161,201,227
Gene0421,363,342,346,365,258,462,519,369,288,385,201,282
Gene0422,115,87,47,76,153,112,62,108,57,99,55,73
Gene0423,43,67,64,56,84,62,68,52,90,46,77,51
Gene0424,255,98,186,181,303,245,180,159,171,173,171,137
Gene0425,77,176,91,136,127,75,115,181,69,136,135,125
Gene0426,34,55,60,80,49,72,84,93,68,56,53,64
Gene0427,91,44,75,33,102,87,24,115,70,47,37,108
Gene0428,249,242,259,305,483,433,209,483,115,603,307,287
Gene0429,43,68,49,57,54,80,30,61,27,58,39,52
Gene0430,28,32,69,40,18,25,23,65,41,43,84,67
Gene0431,45,71,59,36,66,56,98,68,70,71,70,11
Gene0432,209,188,84,148,48,318,329,218,246,171,314,211
Gene0433,56,15,20,41,32,26,53,48,31,15,32,33
Gene0434,177,125,143,181,306,380,394,200,111,142,80,70
Gene0435,39,45,49,33,88,66,47,53,62,54,64,56
Gene0436,17,13,38,14,30,18,29,33,20,13,19,24
Gene0437,54,55,109,141,101,112,113,85,55,47,66,81
Gene0438,225,109,380,341,269,278,251,209,283,134,161,318
Gene0439,40,31,85,65,72,71,134,84,72,75,59,59
Gene0440,272,227,212,244,314,336,142,160,303,378,271,190
Gene0441,17,28,37,29,42,25,48,37,23,36,28,32
Gene0442,268,432,286,253,239,612,307,400,403,317,261,311
Gene0443,233,176,128,194,167,342,146,143,114,86,127,165
Gene0444,48,70,58,44,52,74,68,121,32,84,98,103
Gene0445,490,246,716,413,485,448,496,706,487,502,361,365
Gene0446,251,317,346,220,244,279,311,557,209,135,528,162
Gene0447,18,11,7,13,6,13,16,30,10,19,19,8
Gene0448,16,32,77,53,49,31,111,46,22,58,40,34
Gene0449,125,78,120,204,121,314,232,141,196,97,197,213
Gene0450,142,86,81,46,38,104,52,138,73,55,49,87
Gene0451,248,398,359,636,628,742,507,301,583,230,373,357
Gene0452,7,26,13,16,25,19,16,21,12,11,24,16
Gene0453,101,109,107,91,144,164,101,162,107,90,138,134
Gene0454,11,11,6,15,25,13,19,16,11,15,10,16
Gene0455,99,134,143,127,217,76,114,134,98,184,135,183
Gene0456,154,137,174,82,280,240,268,268,147,349,171,196
Gene0457,74,120,107,123,104,91,82,37,71,71,76,61
Gene0458,79,48,47,59,102,70,37,119,64,71,35,39
Gene0459,36,48,87,75,15,101,77,98,30,78,90,26
Gene0460,88,120,134,70,91,81,64,47,58,75,58,66
Gene0461,36,35,42,49,46,60,44,71,36,22,22,37
Gene0462,39,55,52,45,107,122,66,74,26,122,92,59
