"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant","direction"
"Gene0085",166.00787583625,-1.29925732491154,0.276793387732423,1.07455508686402e-07,6.25138224063831e-06,TRUE,"Down in treated"
"Gene0021",48.4552415720921,1.34393110831559,0.28770159307581,1.6523303856675e-07,9.07863750791757e-06,TRUE,"Up in treated"
"Gene0017",111.134099642956,1.45449235899971,0.320837131766495,2.64493701824934e-07,1.32714267004964e-05,TRUE,"Up in treated"
"Gene0057",39.529435531367,1.61494315273533,0.362766094392971,2.81799758048962e-07,1.32714267004964e-05,TRUE,"Up in treated"
"Gene0086",36.8156256178688,-1.52657582197889,0.335438596700366,2.73135637688548e-07,1.32714267004964e-05,TRUE,"Down in treated"
"Gene0026",122.000045604693,1.33871674043086,0.294511995179118,2.99991841842964e-07,1.34859968901223e-05,TRUE,"Up in treated"
"Gene0034",197.611125765109,1.58162275748188,0.359465982547656,3.36948113034145e-07,1.39722544424307e-05,TRUE,"Up in treated"
"Gene0059",116.833405394399,1.27900981544088,0.287249032638785,3.39063808511968e-07,1.39722544424307e-05,TRUE,"Up in treated"
"Gene0015",223.306735824,1.5343700133399,0.345279820271423,3.90676848553644e-07,1.48607462776751e-05,TRUE,"Up in treated"
"Gene0058",197.960265894901,1.50746985031054,0.337726724440154,3.80549834618643e-07,1.48607462776751e-05,TRUE,"Up in treated"
"Gene0070",200.84153727579,-1.2439774838944,0.278938578513914,4.73451976080779e-07,1.73423705312552e-05,TRUE,"Down in treated"
"Gene0097",98.0580672289949,-1.36197821282771,0.315162307304014,6.9498299298947e-07,2.45477921452352e-05,TRUE,"Down in treated"
"Gene0039",29.3341733030369,1.60199697518752,0.36958645003208,7.51686563849963e-07,2.56351038499177e-05,TRUE,"Up in treated"
"Gene0073",66.4059315070487,-1.23193755733096,0.286140167753436,9.60663057180453e-07,3.16698587850489e-05,TRUE,"Down in treated"
"Gene0093",71.8617215891949,-1.15722849951806,0.279189731898258,2.03559812550038e-06,6.49421466490282e-05,TRUE,"Down in treated"
"Gene0005",71.6169808778938,1.61962729662456,0.407962786685462,2.76022277606876e-06,8.53081351728751e-05,TRUE,"Up in treated"
"Gene0090",131.591402409843,-1.42600260457905,0.371285865643821,3.68608426448647e-06,0.000110470828411428,TRUE,"Down in treated"
"Gene0074",67.1164608314273,-1.25202159223252,0.314540694343943,4.11588552008737e-06,0.000119723846451953,TRUE,"Down in treated"
"Gene0075",473.120664703359,-1.18911243351206,0.302614216380518,4.33590296348004e-06,0.000122520229453764,TRUE,"Down in treated"
"Gene0078",52.6539180167537,-1.25710504728032,0.327361507840187,5.82378343723137e-06,0.000159992272761717,TRUE,"Down in treated"
"Gene0010",232.113802817461,1.42844411543855,0.376607695423165,6.76500746744767e-06,0.00018082682122448,TRUE,"Up in treated"
"Gene0002",265.129149227083,1.373040821339,0.371397800111007,1.10540051448355e-05,0.000287695028637955,TRUE,"Up in treated"
"Gene0053",68.6063448982479,1.31082579071329,0.359773566377356,1.3862086199612e-05,0.000351528288497854,TRUE,"Up in treated"
"Gene0051",264.497667590056,1.10298347188889,0.300935289033403,1.46976648283935e-05,0.00036339976288203,TRUE,"Up in treated"
"Gene0079",16.7713094745018,-1.46371564050065,0.40264408177898,1.51328765754961e-05,0.000365034510565016,TRUE,"Down in treated"
"Gene0099",62.183980845453,-1.04836424730651,0.287610833306187,1.62025274721853e-05,0.000381530944523602,TRUE,"Down in treated"
"Gene0092",45.648985584264,-1.21727204564149,0.343195954653944,2.01173888257764e-05,0.000462699942992857,TRUE,"Down in treated"
"Gene0036",124.399367923957,1.25523370188526,0.363004798716679,2.12278030046177e-05,0.000477143117535611,TRUE,"Up in treated"
"Gene0095",30.1521444989277,-1.33744189779861,0.384550476406501,2.33862669542883e-05,0.000513978178173135,TRUE,"Down in treated"
"Gene0080",58.5330572237955,-1.07593080969924,0.308346220954837,2.8339498005131e-05,0.000609299207110317,TRUE,"Down in treated"
"Gene0052",83.4277420899305,1.16264538913092,0.338924020854939,3.2651859808686e-05,0.00068707849682533,TRUE,"Up in treated"
"Gene0067",63.9621371418203,-1.21493228856566,0.370643419279683,3.61038131835882e-05,0.000743888984136848,TRUE,"Down in treated"
"Gene0025",367.265939488921,1.22891978184874,0.387161926744384,4.7069167778033e-05,0.000950028712907645,TRUE,"Up in treated"
"Gene0047",115.401538116489,1.0456514223221,0.311082398330285,5.24634144482e-05,0.0010173787625347,TRUE,"Up in treated"
"Gene0060",88.6792190603333,1.02884111056307,0.306228903447055,5.20501728490503e-05,0.0010173787625347,TRUE,"Up in treated"
"Gene0023",660.091362864679,1.11318828459363,0.343345366984198,5.66927369301456e-05,0.00107825224661373,TRUE,"Up in treated"
"Gene0066",151.641474879112,-0.959666456125827,0.299890890349962,7.31363754369687e-05,0.00136475236428608,FALSE,"Not significant"
"Gene0065",40.1451196425292,-1.03313221114068,0.324381373642336,9.7210231972745e-05,0.00178038739668601,TRUE,"Down in treated"
"Gene0022",421.525901519791,1.0957331062168,0.357410456237272,0.00011273921498824,0.00202725606587944,TRUE,"Up in treated"
"Gene0064",14.390669402893,-1.39311971597207,0.456645324210439,0.000115383599033754,0.00203775677579254,TRUE,"Down in treated"
"Gene0007",197.761647564928,0.900624386902121,0.29132331773113,0.000153039749947281,0.00265537390698002,FALSE,"Not significant"
"Gene0030",341.177669926131,0.810860926640978,0.260057966391381,0.000160091595796406,0.00272983772832148,FALSE,"Not significant"
"Gene0056",199.271409768257,0.927711537032446,0.309829407770824,0.000190146875510651,0.00318737728610227,FALSE,"Not significant"
"Gene0041",67.0628305337388,0.967317762621228,0.328110579044769,0.000218490055860148,0.00360144442076143,FALSE,"Not significant"
"Gene0077",132.61546211635,-1.10690771019719,0.401545963024883,0.000237353000250244,0.00384823143028674,TRUE,"Down in treated"
"Gene0076",37.1378019767538,-1.00604314910171,0.349958172083776,0.00024381624516574,0.00388926236240188,TRUE,"Down in treated"
"Gene0020",42.5371946818944,1.0857638544305,0.386299724351937,0.000257144236222765,0.00403675634324309,TRUE,"Up in treated"
"Gene0087",48.3725915495143,-1.00974252636846,0.383717502658014,0.000492025109194297,0.00748635127681785,TRUE,"Down in treated"
"Gene0088",38.092157839386,-0.889246271149746,0.328956807339421,0.000486265481591982,0.00748635127681785,FALSE,"Not significant"
"Gene0045",259.588305686665,0.898312176135802,0.34308951116868,0.000516348295146187,0.00773740096817544,FALSE,"Not significant"
"Gene0055",36.5341224829755,0.919728967927992,0.349942134276733,0.000566947335598085,0.00836881962547024,FALSE,"Not significant"
"Gene0091",213.332825429833,-0.805131768869749,0.297500427534091,0.000583898347812672,0.00849228626451077,FALSE,"Not significant"
"Gene0050",201.902185039401,0.845982674497,0.323597740143294,0.000688765599776049,0.00987230693012337,FALSE,"Not significant"
"Gene0046",1854.94996351046,0.918838985251235,0.360130176420618,0.000726155899038998,0.010259545487851,FALSE,"Not significant"
"Gene0001",15.9286093126547,1.0571568849654,0.43020161862999,0.000748650154944181,0.010428380327321,TRUE,"Up in treated"
"Gene0089",184.072398737316,-0.674049325479102,0.256847503950868,0.000975562845050913,0.013400439635491,FALSE,"Not significant"
"Gene0063",20.2187307133879,-0.890708852194305,0.375439584622504,0.00122957468860652,0.0166582105072856,FALSE,"Not significant"
"Gene0048",71.4795590760886,0.903024244244933,0.392296091721207,0.00130722891445964,0.0174709377891971,FALSE,"Not significant"
"Gene0094",85.2741417211655,-0.715369676614512,0.318294116320509,0.00195764668096927,0.0258148342330481,FALSE,"Not significant"
"Gene0430",44.2913619506801,0.702316725430811,0.323596581557162,0.00285553982240429,0.0371595905836558,FALSE,"Not significant"
"Gene0240",78.4406443018152,-0.67203730199622,0.31589524944236,0.00317677299120284,0.0405554579145049,FALSE,"Not significant"
"Gene0725",36.8495863818297,0.70965503609362,0.346143798021183,0.00319850931984973,0.0405554579145049,FALSE,"Not significant"
"Gene0033",15.7209026007235,0.813591039042053,0.414577988970199,0.00330517596060934,0.041377456013198,FALSE,"Not significant"
"Gene0029",35.7473415727333,0.735946073268772,0.3580785463806,0.00336714393104327,0.0416263168475224,FALSE,"Not significant"
"Gene0024",43.190320893636,0.785076903139094,0.418138468685492,0.00378390237144772,0.0462009808069357,FALSE,"Not significant"
"Gene0084",124.347477423945,-0.676203558763084,0.344342150089907,0.00399407141623042,0.0478636945320105,FALSE,"Not significant"
"Gene0096",16.180727263945,-0.756025873846084,0.3887047619681,0.00401687224080574,0.0478636945320105,FALSE,"Not significant"
"Gene0072",27.9122451292009,-0.729378189239417,0.38701785495259,0.00429878057527499,0.0506130236779401,FALSE,"Not significant"
"Gene0071",110.145296671109,-0.640334837347935,0.333688519117128,0.00497310171866774,0.0578635011736753,FALSE,"Not significant"
"Gene0848",44.4460541136983,0.586652336718162,0.304608296135207,0.00676846849335286,0.0778373876735579,FALSE,"Not significant"
"Gene0032",189.064696990589,0.655523207674003,0.384214910781326,0.00701088357253185,0.0796984350946436,FALSE,"Not significant"
"Gene0031",561.522547018071,0.620416195417619,0.393903949683437,0.00758961854477138,0.0852969629633966,FALSE,"Not significant"
"Gene0019",63.7793324358623,0.608293752590033,0.345795906647281,0.00823921770325273,0.0915571495338984,FALSE,"Not significant"
"Gene0827",93.3937454795374,-0.568857124736489,0.328308892390395,0.00860044389198869,0.0945093223241868,FALSE,"Not significant"
"Gene0440",249.906854231172,-0.471690439903627,0.244480279104672,0.0096402061997904,0.104771032215304,FALSE,"Not significant"
"Gene0082",137.11233816926,-0.474748236167939,0.247316262874066,0.0101603998756355,0.109224298663082,FALSE,"Not significant"
"Gene0908",141.504221047669,0.539587158187064,0.309398676393415,0.0107410960796776,0.114225204546249,FALSE,"Not significant"
"Gene0134",102.480658201823,0.540188477186448,0.325940933021484,0.0116998760174119,0.12180186717074,FALSE,"Not significant"
"Gene0368",42.5986182243878,0.54349796129766,0.324694576611865,0.0116832958815239,0.12180186717074,FALSE,"Not significant"
"Gene0061",10.301452825219,-0.651902171911072,0.469130663149343,0.0123795860479861,0.124956880337564,FALSE,"Not significant"
"Gene0199",41.9509378610538,-0.561151194941717,0.354098462111022,0.0123819760091822,0.124956880337564,FALSE,"Not significant"
"Gene0751",125.594983481564,-0.587681253592075,0.4442918433315,0.0123290635177461,0.124956880337564,FALSE,"Not significant"
"Gene0228",402.853804234105,0.561524280858678,0.385172957814716,0.0126514926882413,0.125306402650632,FALSE,"Not significant"
"Gene0349",411.5828108757,-0.559255714247891,0.395030592371878,0.0127051251143645,0.125306402650632,FALSE,"Not significant"
"Gene0778",49.6021647943442,0.525202216507038,0.312368892224932,0.0127967104830272,0.125306402650632,FALSE,"Not significant"
"Gene0222",113.521514362166,-0.483031255340399,0.279329562065229,0.0135117840608033,0.131011318001319,FALSE,"Not significant"
"Gene0471",702.801697717938,-0.445135912678351,0.242156386906258,0.0138203257564617,0.132701962846025,FALSE,"Not significant"
"Gene0081",88.6870269102603,-0.556177015398566,0.388109471206184,0.0154102282446199,0.146545343595472,FALSE,"Not significant"
"Gene0152",152.10720172977,-0.438909096863905,0.245874824877463,0.0155683070739945,0.14663862567791,FALSE,"Not significant"
"Gene0279",52.1976844114439,0.543669844325129,0.372832227203158,0.016137097493806,0.150562164352586,FALSE,"Not significant"
"Gene0656",49.2711949831676,0.447672488016379,0.259389416804588,0.0168402544706897,0.155654314687029,FALSE,"Not significant"
"Gene0009",558.567904739466,0.460306578861445,0.282080754979859,0.0171539930608866,0.157086103122378,FALSE,"Not significant"
"Gene0579",13.7200623614184,0.560858451367951,0.423478395923233,0.0174647148604646,0.158464247678894,FALSE,"Not significant"
"Gene0746",33.2221533162881,-0.473310244972943,0.305422747496748,0.0195116590448278,0.175427552684861,FALSE,"Not significant"
"Gene0757",75.6398322871876,-0.468321532021773,0.32028347633173,0.0213210730922628,0.189968840434666,FALSE,"Not significant"
"Gene0139",231.469205917893,-0.380020077147612,0.217721878413365,0.0224175606023795,0.197955066390654,FALSE,"Not significant"
"Gene0166",26.8915262861594,-0.486763342154343,0.3759289677335,0.0234795180503364,0.20391929766959,FALSE,"Not significant"
"Gene0871",197.667375554252,-0.402907990365572,0.244079714197576,0.0235053588820356,0.20391929766959,FALSE,"Not significant"
"Gene0013",54.4309067882474,0.438515805143709,0.287902621086258,0.0238724415290307,0.204329295104915,FALSE,"Not significant"
"Gene0193",186.854078979901,-0.419674928865887,0.274957531452811,0.0239658222772195,0.204329295104915,FALSE,"Not significant"
"Gene0266",177.765673142207,-0.405428673613425,0.253410336601873,0.0247983002975001,0.209619820463483,FALSE,"Not significant"
"Gene0028",78.9222507952517,0.431914253432093,0.325908589870393,0.0307307998532151,0.2575657716511,FALSE,"Not significant"
"Gene0255",22.7126274921955,-0.422109100602633,0.308138526384211,0.0325633413836968,0.270631467466186,FALSE,"Not significant"
"Gene0044",36.4438663242996,0.432484805276974,0.371389386944474,0.0335702026696123,0.276273646459743,FALSE,"Not significant"
"Gene0448",45.5932604301109,0.429072843819774,0.371999654063062,0.033800921356551,0.276273646459743,FALSE,"Not significant"
"Gene0652",282.147639151518,-0.395811099205148,0.299608823986932,0.0343824584437317,0.27872337213812,FALSE,"Not significant"
"Gene0529",164.202610216425,0.391048593728048,0.278913718126946,0.0349329490522026,0.279815148174209,FALSE,"Not significant"
"Gene0532",56.6995386683223,-0.383329229991533,0.262411180838942,0.0352128439732717,0.279815148174209,FALSE,"Not significant"
"Gene0603",46.1704169955656,0.428100616354729,0.349461631765335,0.0353659186266694,0.279815148174209,FALSE,"Not significant"
"Gene0741",24.6913182410434,0.427980729053213,0.39040993986688,0.0361669337210737,0.283881725794777,FALSE,"Not significant"
"Gene0304",316.210006852043,-0.386529230318327,0.303398636263775,0.0382682721160765,0.298007253055098,FALSE,"Not significant"
"Gene0422",83.9409530487285,-0.378097380012615,0.269385832846514,0.0385691894752806,0.298007253055098,FALSE,"Not significant"
"Gene0027",59.6269901188416,0.378976053670006,0.284908972923806,0.0401606899599139,0.306737747143167,FALSE,"Not significant"
"Gene0885",199.758941593378,0.362493171289749,0.249655905976166,0.0403194207569381,0.306737747143167,FALSE,"Not significant"
"Gene0653",96.5600911353313,0.356435046536591,0.245186417642847,0.0410898502212207,0.309428234488436,FALSE,"Not significant"
"Gene0720",86.7465426256386,0.383666225518149,0.289406425952831,0.0412988139054333,0.309428234488436,FALSE,"Not significant"
"Gene0815",538.546473622203,-0.370439044317731,0.294893216561378,0.0437863935323928,0.325599572958921,FALSE,"Not significant"
"Gene0747",15.3737222485519,-0.396800642107582,0.368978412306452,0.0445564925033224,0.328853515565566,FALSE,"Not significant"
"Gene0648",43.8517544404176,0.386192658188991,0.330870407237192,0.0451372358478031,0.330672046322053,FALSE,"Not significant"
"Gene0276",11.2819037472812,-0.390154153602224,0.374302636674817,0.0487873001937741,0.354784116850313,FALSE,"Not significant"
"Gene0372",93.1657083073991,-0.33829854630978,0.242604494871199,0.0491612188595359,0.354893762423949,FALSE,"Not significant"
"Gene0287",346.743042703857,0.339858754550542,0.2479871218751,0.0499917985657944,0.358274556388193,FALSE,"Not significant"
"Gene0237",40.1105043947697,0.370566155385133,0.3232841854965,0.0505048748654797,0.359347634834241,FALSE,"Not significant"
"Gene0016",39.9418031408096,0.379818131172411,0.357078056815529,0.0510948148956386,0.360948370941333,FALSE,"Not significant"
"Gene0437",81.6420919319494,0.340683500802205,0.259709271317564,0.0516328500548697,0.36216233123593,FALSE,"Not significant"
"Gene0348",145.969263415447,-0.3346993266436,0.247378040725027,0.0533496096884312,0.36640808320735,FALSE,"Not significant"
"Gene0388",238.345942054731,-0.343114686959106,0.296810330161756,0.0531953090481142,0.36640808320735,FALSE,"Not significant"
"Gene0499",70.4763719317013,0.326861340372262,0.232981681733322,0.0527418517649929,0.36640808320735,FALSE,"Not significant"
"Gene0408",355.147396442451,0.35520438483481,0.326505246491696,0.0568283809572779,0.387608750115503,FALSE,"Not significant"
"Gene0561",62.4394050082549,-0.347509832782981,0.302381213733285,0.0580618991724088,0.393309714256934,FALSE,"Not significant"
"Gene0387",102.412641819862,0.331666476027064,0.261409746098591,0.0588160151313315,0.395707748060455,FALSE,"Not significant"
"Gene0204",25.390555379704,-0.345690895638023,0.317392899927574,0.0609210809831193,0.4016729939487,FALSE,"Not significant"
"Gene0571",114.746981690712,0.332211282884296,0.27968256288579,0.0608385258465508,0.4016729939487,FALSE,"Not significant"
"Gene0582",27.6304279180511,0.346651170062745,0.301438722359598,0.0603796771393992,0.4016729939487,FALSE,"Not significant"
"Gene0683",93.6919766993569,-0.333272550967962,0.310667655294625,0.0635979666622967,0.416545622708685,FALSE,"Not significant"
"Gene0696",99.5152583812443,-0.32247326598401,0.265174602777848,0.064518387696986,0.417050231583785,FALSE,"Not significant"
"Gene0832",17.6205866362942,-0.332470654262401,0.365030256277851,0.0641566000146153,0.417050231583785,FALSE,"Not significant"
"Gene0011",117.814191538095,0.317835858641829,0.265868117710073,0.0653603743592597,0.41974941715135,FALSE,"Not significant"
"Gene0575",465.497659613179,0.300523493570074,0.224187394333949,0.0674071810652542,0.430101303700235,FALSE,"Not significant"
"Gene0068",22.0850706367721,-0.331703319756302,0.294892361970367,0.0687124538443744,0.434011409210098,FALSE,"Not significant"
"Gene0113",109.893766785733,-0.327763178259856,0.30450847931686,0.0697753428355972,0.434011409210098,FALSE,"Not significant"
"Gene0564",217.156569059874,0.324809257796978,0.318500308885807,0.0690484425880093,0.434011409210098,FALSE,"Not significant"
"Gene0907",23.9209657962776,0.332903933577568,0.307308500902168,0.0696942934805173,0.434011409210098,FALSE,"Not significant"
"Gene0816",105.168208732157,0.328657112287437,0.318625436340447,0.0713141055104048,0.44081031468619,FALSE,"Not significant"
"Gene0446",286.555170548336,0.321762083355935,0.293800561498233,0.0721272935804338,0.443067660565522,FALSE,"Not significant"
"Gene0194",120.364668910027,0.304759551767558,0.359888160430748,0.0728435538340641,0.444705399641292,FALSE,"Not significant"
"Gene0923",81.7392075799538,0.313043355130317,0.269242569112828,0.0733733241746796,0.445191519072136,FALSE,"Not significant"
"Gene0159",81.7792065617706,0.311718268984304,0.28592066489033,0.0762937793015461,0.44647661378242,FALSE,"Not significant"
"Gene0378",65.4500920942396,-0.316561574066183,0.280673271382378,0.0745375302904834,0.44647661378242,FALSE,"Not significant"
"Gene0583",7.64208003033633,-0.283344229034498,0.39359275004489,0.074879023840117,0.44647661378242,FALSE,"Not significant"
"Gene0624",92.7085535642161,-0.316756404325898,0.29819153383942,0.0754478530280748,0.44647661378242,FALSE,"Not significant"
"Gene0892",39.4795366987042,-0.314061950603985,0.319249742004546,0.076146784158682,0.44647661378242,FALSE,"Not significant"
"Gene0952",38.8886287090957,0.318688562936822,0.307782604187837,0.0754300122440686,0.44647661378242,FALSE,"Not significant"
"Gene0147",73.1886455011462,-0.297544941081373,0.32868671882178,0.0774318811865382,0.450471355844037,FALSE,"Not significant"
"Gene0695",41.5559041307767,-0.306754655218957,0.266026249141611,0.0781478552479369,0.451977946433974,FALSE,"Not significant"
"Gene0103",32.6412285995041,0.313543531839346,0.31814636863485,0.0802638101700941,0.459509287500242,FALSE,"Not significant"
"Gene0795",33.2940673696701,0.3087057586777,0.285577147497347,0.0806867759508085,0.459509287500242,FALSE,"Not significant"
"Gene0958",36.4478919339577,-0.307694513148836,0.28103904219822,0.080843898913086,0.459509287500242,FALSE,"Not significant"
"Gene0359",51.7476948139508,0.31023019758102,0.3049483984795,0.0822940667386343,0.463384678316502,FALSE,"Not significant"
"Gene0921",262.658722715488,0.305126164328791,0.289199337550907,0.0824627941190135,0.463384678316502,FALSE,"Not significant"
"Gene0227",207.69486296428,-0.301908031896783,0.27522168489059,0.0842903079295995,0.463513203950586,FALSE,"Not significant"
"Gene0712",24.7648511209105,0.307891329673511,0.291263737270806,0.0838727835163142,0.463513203950586,FALSE,"Not significant"
"Gene0904",104.729328532613,0.299218138587316,0.268090772486382,0.0842405454310192,0.463513203950586,FALSE,"Not significant"
"Gene0912",82.52734595956,0.297689379915604,0.262521789838847,0.0843603404561228,0.463513203950586,FALSE,"Not significant"
"Gene0315",85.7908370561103,0.298043550026817,0.270341812650782,0.0854051836031854,0.466661472837295,FALSE,"Not significant"
"Gene0534",99.2893992129538,-0.299512555489261,0.275594160686725,0.0859406812746841,0.467007328465179,FALSE,"Not significant"
"Gene0667",258.927310117497,-0.289585281352023,0.258755959183659,0.0872252658345697,0.471397748144205,FALSE,"Not significant"
"Gene0157",238.95704957776,-0.278828389296392,0.230742822904451,0.089296637993956,0.477374999870392,FALSE,"Not significant"
"Gene0198",153.837115712316,0.28097908729901,0.235879024886522,0.0890676382309466,0.477374999870392,FALSE,"Not significant"
"Gene0301",19.668046351329,-0.293661873362276,0.30634879493949,0.0942950784914718,0.496052301213115,FALSE,"Not significant"
"Gene0879",151.207999197142,0.281785205441849,0.266976045211277,0.0941131055086127,0.496052301213115,FALSE,"Not significant"
"Gene0985",33.4109257909566,0.291459223342508,0.296371885190148,0.0938559422858057,0.496052301213115,FALSE,"Not significant"
"Gene0168",48.5649950256972,0.285108251690157,0.28188364223881,0.0994779753622259,0.517809040174955,FALSE,"Not significant"
"Gene0281",9.18484366289288,0.276981487525989,0.341053097276947,0.0993889830252184,0.517809040174955,FALSE,"Not significant"
"Gene0651",110.067402854824,0.278888805120629,0.255188074725939,0.100308315828533,0.519397509709,FALSE,"Not significant"
"Gene0125",5.2806635737656,0.225528383325483,0.355636662149624,0.102761414684905,0.523871335687481,FALSE,"Not significant"
"Gene0640",321.090171447058,-0.273727814383409,0.278564974503932,0.102484818329717,0.523871335687481,FALSE,"Not significant"
"Gene0822",56.1133113273885,-0.284033804953759,0.290786270300307,0.101895579440174,0.523871335687481,FALSE,"Not significant"
"Gene0585",33.0690777186093,-0.276067337676297,0.285311704923263,0.106750628612395,0.541417290757222,FALSE,"Not significant"
"Gene0649",86.6436721522635,-0.268470663443279,0.276783535394704,0.112247521117612,0.56351674307268,FALSE,"Not significant"
"Gene0909",97.1233473418832,-0.270871927971218,0.281828946979703,0.111754990868851,0.56351674307268,FALSE,"Not significant"
"Gene0733",81.2967477502711,-0.255021701867018,0.296553832673055,0.113533445478509,0.567093826152753,FALSE,"Not significant"
"Gene0037",92.3968131545726,0.26415867612135,0.265310156495905,0.11737046879094,0.577509421065867,FALSE,"Not significant"
"Gene0439",68.0481704690856,0.256728581262468,0.248588605182008,0.117307884482807,0.577509421065867,FALSE,"Not significant"
"Gene0754",624.814394792396,0.261776071954853,0.246887706429458,0.117221076281811,0.577509421065867,FALSE,"Not significant"
"Gene0793",33.7838838990488,0.262092029004112,0.264811493558107,0.118007679952782,0.577770274620303,FALSE,"Not significant"
"Gene0940",79.7705681873665,0.264145087421997,0.298266514360099,0.118926229513116,0.579399216691978,FALSE,"Not significant"
"Gene0538",148.456308516502,0.244093483753942,0.216286957294144,0.122877835364935,0.587331459213333,FALSE,"Not significant"
"Gene0560",131.863443009107,0.239780741385657,0.208154007711649,0.122608312820451,0.587331459213333,FALSE,"Not significant"
"Gene0799",24.1731557005459,-0.259893535569416,0.268368778887115,0.122929840300465,0.587331459213333,FALSE,"Not significant"
"Gene0802",44.0582373151395,-0.257255468201102,0.253300018224385,0.121536667374463,0.587331459213333,FALSE,"Not significant"
"Gene0376",47.0839469212732,-0.251726850335164,0.310173964134073,0.126033097119557,0.599263139669434,FALSE,"Not significant"
"Gene0191",241.735468114017,-0.238878280237559,0.298617070967628,0.127403233250427,0.602879414759198,FALSE,"Not significant"
"Gene0109",283.987569461093,-0.243959851330558,0.242403838938607,0.1306023469716,0.613931428912076,FALSE,"Not significant"
"Gene0244",59.5391106430725,-0.246364704419312,0.245092774154282,0.131916001594205,0.613931428912076,FALSE,"Not significant"
"Gene0332",292.478475283346,-0.248614814041041,0.265358103771373,0.13358956138173,0.613931428912076,FALSE,"Not significant"
"Gene0337",27.1823189341423,0.2499950223584,0.254017978537767,0.131569003875009,0.613931428912076,FALSE,"Not significant"
"Gene0685",229.077345549711,-0.242205855269424,0.23435002688981,0.134084113897885,0.613931428912076,FALSE,"Not significant"
"Gene0955",86.4721474982243,-0.237322390868783,0.21961354115588,0.132714813360653,0.613931428912076,FALSE,"Not significant"
"Gene0969",25.9243558862153,-0.24985886642022,0.280914160905326,0.132895529917499,0.613931428912076,FALSE,"Not significant"
"Gene0436",21.5188714958388,0.249406958125433,0.27684371183837,0.135940791456879,0.619564252308082,FALSE,"Not significant"
"Gene0792",35.5591087723634,0.244907083001943,0.290825144245416,0.138019234037563,0.626151479188759,FALSE,"Not significant"
"Gene0723",27.0305834110909,0.156179245961102,0.316606406236327,0.140668955284454,0.635258432768609,FALSE,"Not significant"
"Gene0808",128.884149624698,-0.228770703634636,0.21571689192834,0.141897912329343,0.637481123719407,FALSE,"Not significant"
"Gene0959",530.688493302928,0.238847934891693,0.252755221101075,0.142450281437805,0.637481123719407,FALSE,"Not significant"
"Gene0657",536.442898142687,-0.222453364999591,0.208027791119872,0.146971346019951,0.654750726187981,FALSE,"Not significant"
"Gene0257",35.2814986471551,0.236365815441146,0.269645175727931,0.149911275935009,0.656338274499607,FALSE,"Not significant"
"Gene0590",53.7709525486056,-0.235217977498087,0.256305619385129,0.150645893135906,0.656338274499607,FALSE,"Not significant"
"Gene0826",64.4494466283689,-0.234047105021738,0.2690001536775,0.150007395623467,0.656338274499607,FALSE,"Not significant"
"Gene0830",247.660608215233,0.235494559362341,0.258139852018961,0.149796279560341,0.656338274499607,FALSE,"Not significant"
"Gene0961",25.9412184781774,-0.236004145468886,0.280489898514354,0.14838813656181,0.656338274499607,FALSE,"Not significant"
