"feature","J_XYL_F_0001_01","J_XYL_F_0001_02","J_XYL_F_0002_01","J_XYL_F_0002_02","J_XYL_F_0003_01","J_XYL_F_0003_02","J_XYL_F_0004_01","J_XYL_F_0004_02","J_XYL_F_0005_01","J_XYL_F_0005_02","J_XYL_F_0006_01","J_XYL_F_0006_02","J_XYL_F_0010_01","J_XYL_F_0010_02","J_XYL_F_0012_01","J_XYL_F_0012_02","J_XYL_F_0013_01","J_XYL_F_0013_02","J_XYL_F_0015_01","J_XYL_F_0015_02","J_XYL_F_0016_01","J_XYL_F_0016_02","J_XYL_F_0018_01","J_XYL_F_0018_02","J_XYL_F_0020_01","J_XYL_F_0020_02","J_XYL_F_0025_01","J_XYL_F_0025_02","J_XYL_F_0031_01","J_XYL_F_0031_02","J_XYL_F_0032_01","J_XYL_F_0032_02","J_XYL_F_0034_01","J_XYL_F_0034_02","J_XYL_F_0036_01","J_XYL_F_0036_02","J_XYL_F_0043_01","J_XYL_F_0043_2","J_XYL_F_0044_01","J_XYL_F_0044_02","J_XYL_F_0045_01","J_XYL_F_0045_2","J_XYL_F_0046_01","J_XYL_F_0046_02","J_XYL_F_0047_01","J_XYL_F_0047_02","J_XYL_F_0048_01","J_XYL_F_0049_02","J_XYL_F_0050_01","J_XYL_F_0050_02","J_XYL_F_0051_01","J_XYL_F_0051_02","J_XYL_F_0053_01","J_XYL_F_0053_02","J_XYL_F_0057_01","J_XYL_F_0057_02","J_XYL_F_0058_01","J_XYL_F_0058_02","J_XYL_F_0059_01","J_XYL_F_0059_02","J_XYL_F_0060_01","J_XYL_F_0060_02","J_XYL_F_0061_01","J_XYL_F_0061_02","J_XYL_F_0062_01","J_XYL_F_0062_02","J_XYL_F_0064_01","J_XYL_F_0064_02","J_XYL_F_0065_01","J_XYL_F_0065_02","J_XYL_F_0066_01","J_XYL_F_0066_02","K_XYL_F_0001_01","K_XYL_F_0001_02","K_XYL_F_0002_01","K_XYL_F_0002_02","K_XYL_F_0003_01","K_XYL_F_0003_02","K_XYL_F_0004_01","K_XYL_F_0004_02","K_XYL_F_0005_01","K_XYL_F_0005_02","K_XYL_F_0007_01","K_XYL_F_0007_02","K_XYL_F_0008_01","K_XYL_F_0008_02","K_XYL_F_0009_01","K_XYL_F_0009_02","K_XYL_F_0011_01","K_XYL_F_0011_02","K_XYL_F_0012_01","K_XYL_F_0012_02","K_XYL_F_0013_01","K_XYL_F_0013_02","K_XYL_F_0017_01","K_XYL_F_0017_02","K_XYL_F_0018_01","K_XYL_F_0018_02","K_XYL_F_0022_01","K_XYL_F_0022_02","K_XYL_F_0028_01","K_XYL_F_0028_02","K_XYL_F_0030_02","K_XYL_F_0030_03","K_XYL_F_0033_01","K_XYL_F_0033_02","K_XYL_F_0035_01","K_XYL_F_0035_02","K_XYL_F_0036_01","K_XYL_F_0036_02","K_XYL_F_0037_01","K_XYL_F_0037_02","K_XYL_F_0038_01","K_XYL_F_0038_02","K_XYL_F_0039_01","K_XYL_F_0039_02","K_XYL_F_0042_01","K_XYL_F_0042_02","K_XYL_F_0043_01","K_XYL_F_0043_02","K_XYL_F_0044_01","K_XYL_F_0044_02","K_XYL_F_0045_01","K_XYL_F_0045_02","K_XYL_F_0046_01","K_XYL_F_0046_02","K_XYL_F_0047_01","K_XYL_F_0047_02","K_XYL_F_0048_01","K_XYL_F_0048_02"
"s__lenta",0,0,0,42,0,15,0,0,0,0,0,0,0,5,30,0,5,0,0,0,0,0,0,0,8,13,0,24,0,0,58,45,0,0,0,0,0,0,0,0,10,13,0,0,0,0,0,0,0,0,0,0,21,0,0,0,57,0,0,0,6,0,126,26,0,8,0,0,0,0,17,73,0,0,0,0,85,0,0,0,0,0,0,32,0,0,0,0,0,21,0,0,0,0,17,11,0,10,0,36,12,45,0,0,0,0,124,70,160,0,0,28,0,0,43,0,28,0,37,18,0,0,0,4,0,10,0,0,0,64
"s__helveticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,12,35,0,0,0,17,0,0,0,37,0,0,0,0,0,49,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,24,0,0,0,105,85,116,0,0,0,86,0,0,31,0,38,23,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,37,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1157,92,1342,86,18,4952,0
"s__moorei",0,10,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,21,0,0,0,0,0,0,0,0,0,0,14,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0,0,0,15,3,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__copri",0,0,257,58,0,0,0,43,5709,0,236,0,327,223,0,60,906,100,1790,3794,99,0,294,1352,505,0,0,0,62,28,52,0,85,210,2238,2227,0,0,545,157,0,0,577,211,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,39,0,0,0,183,368,0,0,284,673,0,0,0,0,29,0,3,0,0,37,0,51,0,0,1146,1058,571,47,0,0,0,0,0,0,74,0,0,0,110,15,35,37,0,63,0,19,0,28,92,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
"s__muciniphila",0,53,84,92,0,44,0,8749,0,0,0,0,52,55,0,47,65,114,0,90,51,144,456,0,549,55,0,99,52,132,1316,149,0,58,0,52,79,37,0,38,0,162,79,167,87,75,60,51,70,0,2,12,93,147,0,39,53,673,76,292,56,78,41,85,43,0,0,0,99,46,67,8579,107,0,0,0,86,0,23,0,41,0,104,0,73,0,11,35,43,0,0,66,22,69,26,142,49,66,0,94,0,0,113,0,0,65,52,77,402,0,26,60,0,71,62,0,125,0,78,0,0,0,0,0,10,0,102,48,0,0
"s__ovatus",0,0,298,39,695,0,69,96,26,34,0,0,21,0,0,28,0,28,0,0,159,20,0,0,138,0,100,0,150,56,435,94,0,0,0,39,164,89,47,0,0,141,64,32,0,0,0,0,112,0,69,0,136,240,374,215,0,314,221,100,276,3,126,83,134,0,0,0,0,97,0,0,358,0,0,0,0,0,0,0,137,0,436,0,9,0,174,152,0,0,0,0,0,40,137,0,0,594,0,31,0,0,342,178,210,0,280,207,0,0,0,0,200,243,0,0,0,0,0,0,246,123,51,43,11,92,279,122,259,248
"s__fragilis",0,0,29,32,435,0,0,0,8,119,0,0,20,0,21,22,26,0,0,0,44,4,0,0,0,0,0,10,127,85,6,0,0,0,92,0,0,0,0,0,0,85,7,0,12,0,0,0,42,0,0,0,0,0,505,166,0,0,134,114,0,68,0,0,113,0,56,0,26,66,0,3,36,0,104,0,0,0,0,0,165,0,30,24,24,0,0,7,0,0,0,0,0,0,21,0,0,84,0,0,0,0,83,117,150,0,114,0,15,0,0,0,19,69,11,0,78,0,0,0,0,0,4,18,0,15,170,41,36,0
"s__longicatena",0,0,0,43,0,0,0,0,0,5,0,0,1,6,157,0,0,0,112,0,0,0,37,0,56,0,0,0,69,0,1,0,98,0,0,0,62,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,78,0,0,47,0,0,0,28,0,60,0,0,0,56,0,0,103,0,0,0,0,0,0,0,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,31,0,0,0,0,0,19,0,0,0,0,91,0,135,0,31,97,91,87,0,0,0,0,0,0,170,52,0,101,5,0,0,0,0,37,12,91
"s__longum",0,43,157,824,135,117,92,80,0,56,0,0,86,34,48,28,10,25,213,66,156,0,32,27,64,0,0,81,120,251,608,200,129,61,118,0,181,0,0,0,0,0,104,93,90,89,0,104,59,0,0,164,97,57,0,37,79,1092,95,248,112,62,161,228,162,52,140,198,0,47,0,712,0,123,81,62,54,113,0,106,67,120,0,0,11,0,138,58,109,121,157,126,102,0,42,37,1542,32,83,360,196,116,382,232,142,156,203,89,125,0,323,178,126,87,57,0,645,568,119,186,169,69,52,1985,23,1916,68,0,315,103
"s__adolescentis",0,110,0,996,389,9164,0,0,85,273,0,456,196,117,9067,7775,257,139,167,794,471,141,228,0,0,74,0,40,102,0,10,0,0,5,69,0,0,0,0,0,82,191,128,0,0,0,0,0,103,0,0,198,2567,1322,0,124,28,5,93,417,52,0,0,0,755,721,76,0,1025,0,124,0,0,0,0,0,46,329,0,0,0,39,0,0,109,277,241,289,65,438,244,6853,67,5116,173,32,455,68,0,5506,0,0,0,8,1426,2050,0,0,99,0,5588,6210,20,0,102,0,2892,3620,0,15,0,0,2226,102,2314,33,228,0,1594,0
"s__animalis",0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,97,0,0,0,0,0,0,6,9,0,32,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,21,0,0,0,0,23,0,0,4,0,12,0,5,0,0,0,41,0,0,0,0
"s__C21_c20",0,23,0,0,0,31,0,0,0,0,0,0,0,0,0,30,0,24,0,0,0,23,38,0,0,0,0,24,33,0,0,0,0,0,0,0,20,0,0,0,0,13,44,7,30,0,47,0,0,0,0,0,0,0,0,0,49,0,29,0,0,25,0,0,0,11,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,21,0,0,0,0,0,0,21,0,0,0,12,0,78,0,29,16,0,34,46,0,0,0,8,8,0,0,48,0,0,0,0,0,16,0
"s__D168",0,0,0,0,0,0,1470,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,162,0,0,0,0,0,2,93,0,0,0,0,0,0,49,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,69,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,13,0,0,0,0,0,0,0,0,0,0,29,32,40,0,0,0,0,0
"s__parainfluenzae",53,39,0,0,0,0,0,0,0,94,0,0,0,0,32,34,0,0,172,86,471,13,38,312,0,340,0,198,53,0,0,47,183,0,0,0,45,17,0,621,0,99,161,0,0,31,33,366,165,0,137,21,68,40,0,107,0,0,257,20,22,0,0,11,608,30,283,0,153,0,0,0,0,14,188,0,0,12,51,0,0,0,0,0,0,0,0,0,140,336,0,0,0,244,170,124,0,9,174,0,0,179,40,0,49,176,0,12,952,49,21,33,24,19,0,0,5,0,0,0,0,35,0,0,0,0,0,102,13,0
"s__viridiflava",0,102,0,0,0,90,0,60,0,84,0,0,0,0,0,95,73,0,122,106,95,31,87,0,0,0,0,177,153,39,106,0,37,198,138,158,103,0,0,0,0,78,101,50,0,0,54,45,109,0,0,0,64,49,0,0,0,0,69,0,93,0,0,0,0,0,58,0,51,0,62,0,0,0,0,0,0,26,0,83,0,92,0,0,0,12,0,74,0,30,0,91,0,97,132,73,62,73,124,119,32,63,58,126,0,54,78,33,0,0,145,111,120,49,69,0,22,0,0,0,60,0,50,0,0,0,82,0,109,0
"s__dispar",0,17,55,6,0,0,50,9,0,0,0,0,10,0,0,0,0,26,0,70,274,0,0,0,0,56,0,0,177,0,0,193,273,391,42,139,0,0,0,0,64,60,68,0,134,0,0,0,128,0,203,0,0,68,318,202,171,0,467,0,80,55,114,159,364,275,133,0,2,1,398,168,0,0,0,0,3923,0,162,0,0,0,0,0,0,0,0,44,150,334,35,46,21,36,109,194,182,97,315,32,293,50,0,0,0,80,114,0,162,0,0,0,138,200,207,60,0,0,0,11,36,0,0,26,0,50,149,0,0,0
"s__aerofaciens",0,19,454,978,0,227,176,131,13,422,0,0,199,167,106,158,238,0,69,0,0,0,148,0,133,43,0,134,0,0,0,139,170,96,0,42,193,0,0,0,0,0,46,130,0,0,0,238,0,0,0,629,0,97,0,21,0,0,0,147,100,193,407,208,56,0,0,106,0,0,0,0,0,0,95,0,0,0,0,0,91,202,0,0,37,259,0,92,0,0,478,187,0,0,0,18,0,0,0,198,0,0,0,0,372,148,0,0,191,164,0,23,0,23,0,0,0,0,221,117,83,153,161,149,441,0,0,0,0,0
"s__salivarius",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,2,0,0,0,0,0,0,0,0,0,0,0,68,106,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,175,0,0,0,0,0,54,75,0,0,0,0,0,0,0,0,0,0,223,60,0,0,0,0,0,0,0,7,0,0,0,0,0,46
"s__plebeius",18,25,0,0,0,0,0,0,132,201,297,0,220,148,171,0,63,0,144,176,84,0,154,295,129,111,243,135,19,0,7,0,0,12,0,0,13,0,731,87,0,0,0,0,0,0,0,336,0,0,0,0,0,8,0,0,0,0,0,37,0,0,0,0,0,0,59,146,56,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,176,94,0,0,0,0,64,0,14,0,0,0,0,0,0,6,0,10,146,705,240,26,0,0,0,0,98,9,92,42,0,18,0,0,0,0,0,0,0,0
"s__neonatale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,33,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,36,0,0,86,48,0,0,78,274,0,0,45,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__producta",0,66,0,42,0,0,0,0,0,0,0,0,0,0,414,137,27,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,169,66,0,0,0,0,0,0,0,30,0,0,125,20,0,0,0,0,0,0,0,0,37,0,0,0,49,0,0,0,0,0,133,172,0,190,0,525,0,0,0,0,0,0,65,136,0,0,165,93,30,0,2293,0,0,98,0,70,278,56,0,0,83,68,0,0,0,0,0,0,0,0,45,69,54,29,0,0,0,0,0,0,0,42,0,101
"s__catus",0,0,0,44,0,28,0,60,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,104,37,39,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,43,32,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,79,81,0,43,30,0,0,0,0,0,0,0,0,31,76,41,0,0,22,0,0,0,0,48
"s__callidus",0,0,39,64,0,0,77,11,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,106,17,48,8,0,0,0,0,43,0,0,63,0,23,8,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,20,119,0,0,0,0,0
"s__yabuuchiae",0,55,0,0,0,9,0,15,0,12,0,0,0,0,0,31,0,24,0,0,0,0,21,0,0,39,0,93,98,0,22,92,84,54,27,0,33,0,0,13,0,39,59,0,0,20,0,0,16,0,0,0,51,9,0,0,0,0,58,0,0,0,0,0,0,0,74,0,0,0,0,0,9,0,0,0,0,32,0,0,0,0,0,0,0,0,0,26,18,24,0,0,0,25,74,29,36,0,0,44,0,0,20,0,0,18,16,29,57,0,0,0,0,10,23,18,0,0,28,0,0,0,0,0,0,0,62,8,0,0
"s__bromii",0,31,143,189,0,41,101,104,102,63,27,0,73,137,0,40,64,62,0,0,0,390,0,0,0,0,751,141,0,33,14,147,0,0,23,16,190,737,0,0,24,156,0,0,0,0,0,341,0,0,0,101,62,104,0,57,0,54,17,191,0,24,0,0,228,28,29,0,183,0,0,0,0,0,0,37,0,0,0,20,0,0,0,0,0,121,0,32,0,0,0,0,0,33,29,51,32,0,0,0,0,0,0,0,0,0,104,150,53,0,0,0,0,41,0,0,0,24,0,365,0,16,50,60,33,0,181,96,0,0
"s__pullicaecorum",78,23,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0,57,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,98,0,0,0,19,0,0,0,0,0,0,0,0,5,0,0,49,79,53,0,0,63,0,0,0,0,0,0,0,0,0,3,0,0,0,17,0,0,24,0,94,0,0,0
"s__zeae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,123,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,12,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"s__biforme",0,0,0,0,0,0,163,91,0,0,0,0,0,0,0,0,25,0,0,0,0,4,93,41,153,0,0,0,0,0,224,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,309,66,0,0,0,0,0,0,0,0,0,0,0,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,105,0,39,3,0,6,0,0,0,0,0
