"primary","shannon","simpson","invsimpson","observerd_index","chao1","ACE","pielou","observed"
"J_XYL_F_0018_02",1.64143673583826,0.743912367566893,3.90491329276204,10,10,NA,0.71286691676784,NA
"J_XYL_F_0020_01",1.668020125316,0.670179248816784,3.03194991950187,18,18,NA,0.577095358325156,NA
"J_XYL_F_0020_02",1.60986196374122,0.703431161058033,3.37189842185571,15,15,NA,0.594472718078116,NA
"J_XYL_F_0025_01",1.79005869925453,0.75377448072916,4.06131745791968,15,15,NA,0.661013853630169,NA
"J_XYL_F_0025_02",1.93835047245781,0.751951505912645,4.03146974820105,24,24,24,0.609917445056491,NA
"J_XYL_F_0031_01",1.4558692492353,0.559268142491565,2.26895329430744,22,22,NA,0.470996199891576,NA
"J_XYL_F_0031_02",1.23284881327277,0.542184538726604,2.1842862126555,15,15,NA,0.455253308365917,NA
"J_XYL_F_0032_01",2.26903592513795,0.855326242374885,6.91210359373704,25,25,25.52448,0.704915644029498,NA
"J_XYL_F_0032_02",2.0054050816808,0.758182805437078,4.13535522900872,21,21,NA,0.658692823817834,NA
"J_XYL_F_0034_01",1.77283877039549,0.723574770824689,3.61761479942843,19,19,NA,0.602097303744218,NA
"J_XYL_F_0034_02",1.2907563421924,0.572153291816222,2.3372857167583,19,19,19,0.438370892154746,NA
"J_XYL_F_0036_01",1.79273781103498,0.766639732348834,4.28521963085349,18,18,NA,0.620244716319768,NA
"J_XYL_F_0036_02",1.63897767053741,0.747551788599938,3.96120849680044,12,12,NA,0.659573135545048,NA
"J_XYL_F_0043_01",1.8577377688912,0.7141304627707,3.49809920179738,26,26,26,0.570191136822279,NA
"J_XYL_F_0043_2",1.63014199324305,0.770350197313509,4.35445616892239,9,9,NA,0.741909593610744,NA
"J_XYL_F_0044_01",1.34407721852609,0.660604767170791,2.94641734258896,8,8,NA,0.646364512579809,NA
"J_XYL_F_0044_02",1.34443318142098,0.653315707789301,2.88446872981556,11,11,NA,0.560672184758099,NA
"J_XYL_F_0045_01",0.648655188117544,0.290078912492733,1.4086072629724,9,9,NA,0.295215698389799,NA
"J_XYL_F_0045_2",0.852554296839317,0.31244440668643,1.45442784514435,20,20,20,0.284589615823008,NA
"J_XYL_F_0046_01",1.97980896318136,0.748406844718376,3.9746709280729,24,24,24,0.622962690019824,NA
"J_XYL_F_0046_02",1.61952621019503,0.696087733007489,3.29042328529846,18,18,NA,0.560317615120157,NA
"J_XYL_F_0047_01",1.34366046566086,0.618250742473747,2.61952048441438,21,21,NA,0.441337021863303,NA
"J_XYL_F_0047_02",1.67670807714526,0.715035221866704,3.50920561674551,17,17,NA,0.591804383761929,NA
"J_XYL_F_0048_01",0.595148255648608,0.264553042291885,1.35971736577212,11,11,11,0.248196100305108,NA
"J_XYL_F_0049_02",1.83888446289508,0.75479768103502,4.07826485581819,17,17,17,0.649045532258581,NA
"J_XYL_F_0050_01",1.14710378932845,0.495386341452728,1.98171409564872,17,17,NA,0.404877307151948,NA
"J_XYL_F_0050_02",0.466389615236211,0.290985434007134,1.41040825952518,2,2,NA,0.672857985023394,NA
"J_XYL_F_0051_01",1.01018087895435,0.492056718775038,1.96872374724278,11,11,11,0.421278147721381,NA
"J_XYL_F_0051_02",1.73380226788161,0.666098964917847,2.99489937116835,16,16,NA,0.625336983438711,NA
"J_XYL_F_0053_01",1.86422164298679,0.758539506245605,4.14146423893743,22,22,22,0.603104509600436,NA
"J_XYL_F_0053_02",1.94738866868024,0.763873670968266,4.23502116049754,23,23,23,0.621078699104909,NA
"J_XYL_F_0057_01",1.32720335097997,0.650356226711566,2.86005379302169,6,6,NA,0.740726293776349,NA
"J_XYL_F_0057_02",1.73226850506227,0.744269993122236,3.91037411764506,20,20,NA,0.578245432796034,NA
"J_XYL_F_0058_01",1.33390890823988,0.5909675152794,2.44479359795366,14,14,NA,0.505449007594823,NA
"J_XYL_F_0058_02",1.87095596822418,0.764673944576498,4.24942320220496,18,18,18,0.64730634151574,NA
"J_XYL_F_0059_01",1.89544169559692,0.734444013351443,3.76568426349742,20,20,NA,0.632713981930122,NA
"J_XYL_F_0059_02",1.84343143474356,0.741986718534951,3.87576947326823,19,19,NA,0.626072215381902,NA
"J_XYL_F_0060_01",1.67080441353784,0.731563946915214,3.72528201226438,18,18,18,0.5780586559405,NA
"J_XYL_F_0060_02",1.14825358653738,0.487130051486763,1.94981203889779,21,21,21,0.377153924802736,NA
"J_XYL_F_0061_01",1.36740454073844,0.542093115877603,2.18385011161506,14,14,NA,0.518141279233896,NA
"J_XYL_F_0061_02",1.70170006827088,0.676778464654304,3.09385325742751,16,16,16,0.613758562393701,NA
"J_XYL_F_0062_01",1.97574976943695,0.721477269717163,3.59037123822717,24,24,24,0.621685432313977,NA
"J_XYL_F_0062_02",1.50819843652738,0.616776363318029,2.60944238371674,19,19,19,0.512219287680516,NA
"J_XYL_F_0064_01",1.15989833716839,0.473778463816725,1.90034031532247,22,22,NA,0.375245036155424,NA
"J_XYL_F_0064_02",1.13559552897569,0.527517522929329,2.11648060728065,12,12,12,0.45699725946348,NA
"J_XYL_F_0065_01",1.71345529485457,0.707699473823816,3.42113650317979,20,20,20,0.571965428947298,NA
"J_XYL_F_0065_02",1.62394850035881,0.670669731247906,3.03646550251583,18,18,NA,0.56184762251512,NA
"J_XYL_F_0066_01",1.58502440771712,0.706960257085637,3.41250640631444,11,11,NA,0.66100651921607,NA
"J_XYL_F_0066_02",1.32904066461559,0.624280543352278,2.66156032727794,12,12,12,0.534845308868637,NA
"K_XYL_F_0001_01",1.11602531866205,0.57280142439737,2.34083177498742,9,9,9,0.507925011477458,NA
"K_XYL_F_0001_02",0.679051624339836,0.388769283773111,1.6360434340947,8,8,NA,0.326554803647559,NA
"K_XYL_F_0002_01",0.865850410651708,0.372141206600382,1.59271481185344,15,15,NA,0.319732038312767,NA
"K_XYL_F_0002_02",0.90188658719516,0.509908056033251,2.04043345806934,10,10,NA,0.391684368121414,NA
"K_XYL_F_0003_01",1.35737761911243,0.62699458322842,2.68092621457124,14,14,14,0.514341846188814,NA
"K_XYL_F_0003_02",1.08403544597733,0.461736550525213,1.85782631344513,14,14,NA,0.410766160254415,NA
"K_XYL_F_0004_01",0.925883370817699,0.501060338618229,2.00425036813186,8,8,NA,0.445255782506751,NA
"K_XYL_F_0004_02",0.9655944298783,0.518286020722885,2.07592065627959,10,10,NA,0.419352332652662,NA
"K_XYL_F_0005_01",1.82326252258502,0.742890433039201,3.88939241670641,14,14,NA,0.690876436113963,NA
"K_XYL_F_0005_02",1.17398330485186,0.455293824362906,1.83585214327778,14,14,NA,0.444849489125351,NA
"K_XYL_F_0007_01",1.51524804581848,0.681049480251818,3.13528255351181,13,13,NA,0.590751642487821,NA
"K_XYL_F_0007_02",1.49513994029407,0.726198994555013,3.65228753771294,8,8,NA,0.71901032576576,NA
"K_XYL_F_0008_01",1.63684700688885,0.739545959166623,3.83944897456877,16,16,16,0.590367764883121,NA
"K_XYL_F_0008_02",1.58956554581886,0.69584787536231,3.28782842201485,13,13,NA,0.619725898756931,NA
"K_XYL_F_0009_01",1.79433959629983,0.755912468410813,4.09689095337756,12,12,12,0.72209537386562,NA
"K_XYL_F_0009_02",1.72017628816373,0.695143517289709,3.28023203282284,23,23,23,0.548614084320352,NA
"K_XYL_F_0011_01",1.66770610639426,0.690537130810747,3.23140544330844,18,18,NA,0.576986715234217,NA
"K_XYL_F_0011_02",1.626234490652,0.655219884750729,2.90039928572161,14,14,NA,0.616217947371794,NA
"K_XYL_F_0012_01",1.57635485624414,0.646490617150348,2.82877923052272,15,15,NA,0.582099569499317,NA
"K_XYL_F_0012_02",1.56390208531972,0.658392321618153,2.92733466863764,20,20,NA,0.522043341164258,NA
"K_XYL_F_0013_01",0.958513910176181,0.462005192674746,1.85875399982333,9,9,NA,0.436238480154916,NA
"K_XYL_F_0013_02",1.48858461828819,0.678908466450344,3.11437672910598,19,19,19,0.505557978555767,NA
"K_XYL_F_0017_01",1.38535954127351,0.565591868478522,2.30198269193899,22,22,NA,0.448185219768936,NA
"K_XYL_F_0017_02",1.31367942513876,0.619513254350498,2.62821244480664,18,18,NA,0.454501889436865,NA
"K_XYL_F_0018_01",1.74564941740348,0.764648323143748,4.24896059105107,15,15,NA,0.644614865962597,NA
"K_XYL_F_0018_02",1.35800851257347,0.650824823635687,2.86389201664395,12,12,12,0.546502828462118,NA
"K_XYL_F_0022_01",1.32059083095681,0.536565930677193,2.15780424054979,13,13,NA,0.514860391732554,NA
"K_XYL_F_0022_02",1.79215040512234,0.740283107426579,3.85034639099304,20,20,NA,0.598234502109302,NA
"K_XYL_F_0028_01",1.55380810316065,0.723457552159023,3.61608139295505,10,10,NA,0.674810285139227,NA
"K_XYL_F_0028_02",1.25280000754844,0.500715530856092,2.00286622516947,13,13,NA,0.488430698993723,NA
"K_XYL_F_0030_02",2.07492928736273,0.813652111225726,5.36630710751605,19,19,NA,0.704694273525117,NA
"K_XYL_F_0030_03",0.851531353532997,0.323024137226192,1.47715753986065,13,13,13,0.331987589172417,NA
"K_XYL_F_0033_01",1.7105716247143,0.648932153451024,2.84845225739149,19,19,NA,0.580949931996402,NA
"K_XYL_F_0033_02",1.4663193118643,0.608996249920587,2.55752022786712,21,21,21,0.481625391784189,NA
"K_XYL_F_0035_01",1.86260373306556,0.727225380040827,3.66603021992909,22,22,NA,0.602581090739113,NA
"K_XYL_F_0035_02",1.8126885528391,0.73096161348993,3.71694170847464,24,24,24,0.570376919210534,NA
"K_XYL_F_0036_01",2.07839224884139,0.777346268274851,4.49127886719829,26,26,26,0.637916103647291,NA
"K_XYL_F_0036_02",1.37389623653642,0.618580461599632,2.62178493580557,10,10,NA,0.59667555423541,NA
"K_XYL_F_0037_01",1.4012426858419,0.603193227972332,2.52011828046693,15,15,15,0.517436008118158,NA
"K_XYL_F_0037_02",1.44666057032786,0.622868774482654,2.65159693055966,20,20,NA,0.482907161998028,NA
"K_XYL_F_0038_01",1.30507488009833,0.618526103988255,2.62141134807612,15,15,NA,0.481924182781823,NA
"K_XYL_F_0038_02",0.94875231350625,0.376640874728941,1.60421169669276,20,20,20,0.316701302677057,NA
"K_XYL_F_0039_01",1.34630400155191,0.576503588808209,2.36129509854837,17,17,NA,0.47518624193138,NA
"K_XYL_F_0039_02",0.693407196284111,0.355048521896697,1.55050423783947,6,6,NA,0.386997924773269,NA
"K_XYL_F_0042_01",1.86799907814403,0.775763378706285,4.45957486440254,19,19,19,0.634415958816322,NA
"K_XYL_F_0042_02",1.49539846356335,0.687184813508274,3.19677574230064,14,14,14,0.566641143707688,NA
"K_XYL_F_0043_01",1.26460384509498,0.502786801352795,2.01120968373477,19,19,NA,0.429488895522293,NA
"K_XYL_F_0043_02",0.834181764862344,0.299835951997977,1.42823671517209,18,18,NA,0.288607084048429,NA
"K_XYL_F_0044_01",1.0488591921841,0.430322280838075,1.75537846463635,11,11,NA,0.437408257183837,NA
"K_XYL_F_0044_02",1.10987853724244,0.45973542417875,1.85094497169264,17,17,NA,0.391738426465783,NA
"K_XYL_F_0045_01",1.90609541585896,0.797291676631809,4.93319654261874,24,24,24,0.599768134087983,NA
"K_XYL_F_0045_02",1.66207367950401,0.706668076326607,3.40910729209766,18,18,NA,0.575038029265064,NA
"K_XYL_F_0046_01",1.82660322116309,0.799016868383508,4.97554193706246,19,19,19,0.620356962425553,NA
"K_XYL_F_0046_02",1.5559553976502,0.692058107690051,3.2473658991271,17,17,17,0.549183986061067,NA
"K_XYL_F_0047_01",1.89649873793188,0.704283070800614,3.38161228275758,21,21,NA,0.622921583507858,NA
"K_XYL_F_0047_02",1.71482937186769,0.712270596781737,3.47548769369751,20,20,20,0.572424107122665,NA
"K_XYL_F_0048_01",1.64691398783741,0.754039103858411,4.065686927016,14,14,NA,0.624053888241037,NA
"K_XYL_F_0048_02",1.81005286641287,0.751385051995925,4.02228429154473,15,15,NA,0.668397087201766,NA
